source,target,predicate,dossier_id,relationship_id
Pyr4,epoxyfarnesyl intermediate,cyclizes,M4-FUNG-0036,R004
GpaB,pyr cluster in dual biofilm,regulates,M4-FUNG-0036,R005
pyripyropene,A. fumigatus mixed-biofilm fitness,supports,M4-FUNG-0036,R006
Rdc5,reduced pentaketide starter,produces,M4-FUNG-0037,R001
Rdc5 product,Rdc1 SAT/NRPKS system,transferred_to,M4-FUNG-0037,R002
Rdc1,(R)-monocillin II,produces,M4-FUNG-0037,R003
Rdc2,monocillin/RAL substrates,chlorinates,M4-FUNG-0037,R004
NaBr,rdc2 transcription,represses,M4-FUNG-0037,R005
NaBr,radicicol → chlorine-free monocillin profile,redirects,M4-FUNG-0037,R006
Rdc4,epoxidative late tailoring,associated_with,M4-FUNG-0037,R007
Rdc3,MFS transporter,predicted_as,M4-FUNG-0037,R008
BGC0000146,"AB514562.1:1–21,000",encoded_by,M4-FUNG-0038,R001
Sol1,desmethylprosolanapyrone I,synthesizes,M4-FUNG-0038,R002
Sol2,desmethylprosolanapyrone I → prosolanapyrone I,methylates,M4-FUNG-0038,R003
Sol6,prosolanapyrone I → prosolanapyrone II,hydroxylates,M4-FUNG-0038,R004
Sol5,prosolanapyrone II → prosolanapyrone III → solanapyrones A/D,oxidizes_and_cyclizes,M4-FUNG-0038,R005
Sol3,solanapyrone A/D → solanapyrone B/E,reduces,M4-FUNG-0038,R006
Sol4,sol1/2/3/5/6 transcription,positively_regulates,M4-FUNG-0038,R007
sol5 deletion,loss of solanapyrones + prosolanapyrone-II-diol accumulation,causes,M4-FUNG-0038,R008
sol5 deletion,A. solani pathogenicity on tested potato/tomato hosts,does_not_reduce,M4-FUNG-0038,R009
A. oryzae host enzymes,prosolanapyrone-I terminal olefin when Sol6 is absent/delayed,oxidize,M4-FUNG-0038,R010
host ethanolamine,solanapyrone A → solanapyrone C,converts_nonenzymatically,M4-FUNG-0038,R011
corrected Sol6 expression,heterologous-host side-product formation,suppresses,M4-FUNG-0038,R012
Δsol5 feedback state,other sol biosynthetic genes,upregulates,M4-FUNG-0038,R013
StcJ + StcK,dedicated hexanoyl starter for StcA,supply,M4-FUNG-0039,R001
StcA,early sterigmatocystin polyketide/norsolorinic-acid pathway,synthesizes,M4-FUNG-0039,R002
StcB + StcW,averufin,required_after,M4-FUNG-0039,R003
StcS + StcU,versicolorin A → sterigmatocystin segment,required_for,M4-FUNG-0039,R004
StcP,demethylsterigmatocystin → sterigmatocystin,methylates,M4-FUNG-0039,R005
AflR,TCG(N5)CGA motifs in stc promoters,binds,M4-FUNG-0039,R006
LaeA,ST cluster transcription,supports,M4-FUNG-0039,R008
glucose concentration,effect of light on ST production,modifies,M4-FUNG-0039,R009
current MIBiG gene list,historical 25-transcript cluster definition,underrepresents,M4-FUNG-0039,R010
BGC0000154,"EQ962655.1:1,793,486–1,841,545 displayed region",encoded_by,M4-FUNG-0040,R001
TropA,3-methylorcinaldehyde,synthesizes,M4-FUNG-0040,R002
TropB,3-methylorcinaldehyde → hydroxycyclohexadienone,dearomatizes,M4-FUNG-0040,R003
TropC,six-membered dienone → seven-membered tropolone/stipitaldehyde,ring_expands,M4-FUNG-0040,R004
TropD,stipitaldehyde methyl group → stipitacetal-forming state,hydroxylates,M4-FUNG-0040,R005
TropE,stipitacetal → stipitalide,converts,M4-FUNG-0040,R006
TropF,stipitalide/lactone toward open-chain intermediate,opens,M4-FUNG-0040,R007
TropG,late open-chain oxidation sequence,acts_in,M4-FUNG-0040,R008
TropG,current MIBiG BGC0000154 displayed boundary,lies_outside,M4-FUNG-0040,R014
TropH,late aldehyde → dicarboxylate,oxidizes,M4-FUNG-0040,R009
TropI,dicarboxylate ↔ maleic-anhydride/stipitatonic state,interconverts,M4-FUNG-0040,R010
TropJ,late intermediate → stipitatic acid,decarboxylates,M4-FUNG-0040,R011
genomic tropA intron construct,A. oryzae heterologous expression,fails_in,M4-FUNG-0040,R012
intronless tropA construct,3-methylorcinaldehyde in A. oryzae,produces,M4-FUNG-0040,R013
Tox1A,Race-T chr12;6 / scaffold_4,located_on,M4-FUNG-0041,R001
Tox1B,Race-T chr6;12 / scaffold_8,located_on,M4-FUNG-0041,R002
PKS1,T-toxin + high virulence,required_for,M4-FUNG-0041,R003
PKS2,T-toxin + high virulence,required_for,M4-FUNG-0041,R004
46357,high-level active T-toxin,required_for,M4-FUNG-0041,R005
ChLae1 + ChVel1,Tox1 transcription in dark,positively_regulate,M4-FUNG-0041,R006
darkness,T-toxin production,increases,M4-FUNG-0041,R007
T-toxin,T-cms/URF13 susceptibility system,acts_on,M4-FUNG-0041,R008
BGC0000156,"JN257714.1:1–13,275",encoded_by,M4-FUNG-0042,R001
AdaR,adaA/adaB/adaC/adaD programme,activates,M4-FUNG-0042,R002
AdaA,ACP-bound decaketide scaffold,synthesizes,M4-FUNG-0042,R003
AdaC,C2/α-carbon of ACP-bound decaketide,hydroxylates,M4-FUNG-0042,R004
AdaC hydroxylation,AdaB off-loading from hydrolysis toward Claisen-like fourth-ring closure,switches,M4-FUNG-0042,R005
AdaB,C18–C1 fourth-ring closure,catalyzes,M4-FUNG-0042,R006
AdaD,C9 hydroxyl → TAN-1612,methylates,M4-FUNG-0042,R007
AdaE,AdaA-containing core locus,adjacent_to,M4-FUNG-0042,R008
AdaE coexpression,heterologous host tolerance and extracellular TAN-1612 recovery,improves,M4-FUNG-0042,R009
BMS-192548,TAN-1612 during purification,likely_tautomeric_to,M4-FUNG-0042,R010
AdaA+AdaC without AdaB,trace tetracyclic product,produces,M4-FUNG-0042,R011
AdaA+AdaB without AdaC,unhydroxylated tricyclic hydrolysis product,produces,M4-FUNG-0042,R012
AtX,6-MSA,synthesizes,M4-FUNG-0043,R001
AtA,6-MSA → 3-methylcatechol,converts,M4-FUNG-0043,R002
AtE,3-methylcatechol → benzenetriol,hydroxylates,M4-FUNG-0043,R003
AtG,AtE-dependent hydroxylation,enhances,M4-FUNG-0043,R004
AtD,benzenetriol → terremutin,converts,M4-FUNG-0043,R005
AtC,terremutin → terreic acid,oxidizes,M4-FUNG-0043,R006
AtF,terreic-acid programme,positively_regulates,M4-FUNG-0043,R007
ATEG_06279,primary eight-gene at definition,excluded_from,M4-FUNG-0043,R008
BGC0000161,"CH476594.1:399,827–452,585",displayed_on,M4-FUNG-0044,R001
TerR,terA–J transcription,activates,M4-FUNG-0044,R002
AreA + AtfA,terR during nitrogen limitation/methionine signaling,activate_via,M4-FUNG-0044,R003
HapX,terR under iron limitation,activates_via,M4-FUNG-0044,R004
TerA + TerB,6-hydroxymellein,produce,M4-FUNG-0044,R005
TerC,6-hydroxymellein,oxidatively_decarboxylates,M4-FUNG-0044,R006
TerD,TerC-derived intermediate,hydroxylates,M4-FUNG-0044,R007
TerG/TerJ,terrein export/self-protection,predicted_to_support,M4-FUNG-0044,R008
terH/terI deletion,terrein production,reduces_but_does_not_abolish,M4-FUNG-0044,R009
plant-derived media,terR/ter pathway,induces,M4-FUNG-0044,R010
terrein,Fe3+ → Fe2+,reduces,M4-FUNG-0044,R011
terrein,iron acquisition in siderophore-deficient A. terreus,supports,M4-FUNG-0044,R013
terrein oxidation,propylene maleic acid,produces,M4-FUNG-0044,R012
current MIBiG product label,experimental terrein identity,conflicts_with,M4-FUNG-0044,R014
VrtA,viridicatumtoxin core formation,required_for,M4-FUNG-0045,R001
VrtC,naphthacenedione core,geranylates,M4-FUNG-0045,R002
VrtD,GPP for prenylation,supplies,M4-FUNG-0045,R003
VrtK,geranyl side chain to spirobicycle,cyclizes,M4-FUNG-0045,R004
YanA,6-MSA,synthesizes,M4-FUNG-0046,R001
YanB,6-MSA → m-cresol,decarboxylates,M4-FUNG-0046,R002
YanI,yanuthone precursor,O-mevalonylates,M4-FUNG-0046,R003
YanF,yanuthone E → yanuthone D,oxidizes,M4-FUNG-0046,R004
AtaP,diketopiperazine scaffold,assembles,M4-FUNG-0047,R001
nine-gene ata set,acetylaranotin biosynthesis,required_for,M4-FUNG-0047,R002
current MIBiG display,deletion-defined functional set,broader_than,M4-FUNG-0047,R003
AnaPS,(R)-benzodiazepinedione,synthesizes,M4-FUNG-0048,R001
AnaPT,benzodiazepinedione → aszonalenin,prenylates,M4-FUNG-0048,R002
AnaAT,aszonalenin → acetylaszonalenin,acetylates,M4-FUNG-0048,R003
APS1,apicidin cyclic tetrapeptide,assembles,M4-FUNG-0049,R001
APS3,L-pipecolic acid,supplies,M4-FUNG-0049,R002
APS2,APS cluster transcription,activates,M4-FUNG-0049,R003
extra-cluster FAS beta subunit,Aoda precursor biosynthesis,supports,M4-FUNG-0049,R004
aba1,Aureobasidin A biosynthesis complex,encodes,M4-FUNG-0050,R001
Aba1,aureobasidin A,assembles,M4-FUNG-0050,R002
precursor pool,aureobasidin congener output,modifies,M4-FUNG-0050,R003
BbBSLS,bassianolide,synthesizes,M4-FUNG-0051,R001
bassianolide,B. bassiana insect virulence,contributes_to,M4-FUNG-0051,R003
bbBsls deletion,beauvericin biosynthesis,does_not_affect,M4-FUNG-0051,R002
KIVR,D-Hiv,produces,M4-FUNG-0052,R001
BbBEAS,beauvericin,synthesizes,M4-FUNG-0052,R002
beauvericin,insect virulence,contributes_to,M4-FUNG-0052,R003
PcbAB,ACV,synthesizes,M4-FUNG-0053,R001
PcbAB,ACV,synthesizes,M4-FUNG-0067,R001
PcbC,ACV → IPN,cyclizes,M4-FUNG-0053,R002
PcbC,ACV → isopenicillin N,converts,M4-FUNG-0067,R002
CefP,IPN into peroxisome,imports,M4-FUNG-0053,R003
CefD1/CefD2,IPN → PenN,convert,M4-FUNG-0053,R004
CefM,PenN to cytosol,exports,M4-FUNG-0053,R005
PenN,late BGC0000318 pathway,feeds,M4-FUNG-0053,R006
M4-FUNG-0053 early programme,penicillin N,supplies,M4-FUNG-0054,R001
CefEF,PenN → DAOC → DAC,converts,M4-FUNG-0054,R002
CefG,DAC → cephalosporin C,acetylates,M4-FUNG-0054,R003
cefEF/cefG dosage,CPC production,can_increase,M4-FUNG-0054,R004
ctg1_orf10,chaetocin ETP scaffold,predicted core NRPS for,M4-FUNG-0055,R001
chaetocin locus,fungal ETP biosynthetic systems,belongs to broader family,M4-FUNG-0055,R002
SimA,cyclosporin peptide core,assembles,M4-FUNG-0056,R001
SimG/SimI/SimJ,Bmt precursor,supply/tailor,M4-FUNG-0056,R002
SimL,sim cluster and cyclosporin production,positively regulates,M4-FUNG-0056,R003
cyclosporin production,fungal competition and insect-associated fitness,improves,M4-FUNG-0056,R004
DtxS1,destruxin depsipeptide scaffold,assembles,M4-FUNG-0057,R001
DtxS3,hydroxyisocaproate precursor,supplies,M4-FUNG-0057,R002
DtxS4,beta-alanine precursor,supplies,M4-FUNG-0057,R003
DtxS2,upstream destruxins to downstream congeners,oxidatively converts,M4-FUNG-0057,R004
Hty module within continuous Ecd/Hty cluster,L-homotyrosine to echinocandin-B assembly,supplies,M4-FUNG-0058,R001
EcdI,linoleate onto EcdA,loads,M4-FUNG-0058,R002
EcdA,echinocandin B hexapeptide scaffold,assembles,M4-FUNG-0058,R003
Esyn1,2R-hydroxyisovalerate and valine into enniatin,incorporates,M4-FUNG-0059,R001
living grass host state,high EAS transcription,supports/enables,M4-FUNG-0060,R001
LpsB,lysergic-acid-derived intermediates toward ergovaline,acts downstream of,M4-FUNG-0060,R002
EAS locus,retrotransposon and DNA-transposon relics,is associated with,M4-FUNG-0060,R003
BrlA-controlled conidiation,fumiquinazoline pathway expression,enables,M4-FUNG-0061,R001
FmqD secretion to cell wall,conidia-enriched FQC accumulation,directs,M4-FUNG-0061,R002
FQC,FQD,rearranges nonenzymatically to,M4-FUNG-0061,R003
HcpA adenylation domains,Phe/Tyr/Trp and Val/Ile alternative substrates,accept,M4-FUNG-0062,R001
HcpA deletion,loss of tetrapeptide family and smoother colony surface,causes,M4-FUNG-0062,R002
GliZ,gli cluster transcription and gliotoxin output,positively regulates,M4-FUNG-0063,R001
GliP,gliotoxin diketopiperazine scaffold,assembles,M4-FUNG-0063,R002
GliT,dithiol gliotoxin to epidisulfide gliotoxin,oxidizes,M4-FUNG-0063,R003
GliA,gliotoxin,exports,M4-FUNG-0063,R004
HTS1,HC-toxin cyclic tetrapeptide core,assembles,M4-FUNG-0064,R001
TOXC and TOXF,Aeo precursor branch required for HC-toxin,support,M4-FUNG-0064,R002
TOXE,multiple TOX2 genes but not HTS1,positively regulates,M4-FUNG-0064,R003
HC-toxin,maize histone deacetylases,inhibits,M4-FUNG-0064,R004
TOX2 chromosome integrity,toxin output and virulence,influences,M4-FUNG-0064,R005
HasD,Trp/Ala-derived HAS scaffold,builds,M4-FUNG-0065,R001
HasA,hasB–hasH,positively regulates,M4-FUNG-0065,R002
HAS overproduction,fungal iron homeostasis,perturbs,M4-FUNG-0065,R003
HAS overproduction,virulence in tested mouse model,increases,M4-FUNG-0065,R004
BGC0000404,BGC0000405 three-gene penicillin pathway,overlaps biologically with,M4-FUNG-0066,R001
industrial strain improvement,penicillin-region copy number,increases,M4-FUNG-0066,R002
peroxisomal competence,final penicillin acylation/output,supports,M4-FUNG-0066,R003
PenDE,isopenicillin N → penicillin G/V,acylates,M4-FUNG-0067,R003
BGC0000405,BGC0000404 industrial amplification unit,is catalytic core within/related to,M4-FUNG-0067,R004
RoqA,HTD,synthesizes,M4-FUNG-0068,R001
RoqD and RoqR,roquefortine C,form alternative-order branches converging on,M4-FUNG-0068,R002
RoqM→RoqO→RoqN,roquefortine C → glandicoline A → glandicoline B → meleagrine,converts,M4-FUNG-0068,R003
phenylacetic acid,roq transcription and metabolite production,represses,M4-FUNG-0068,R004
TdiD,L-tryptophan → indolepyruvate,converts,M4-FUNG-0069,R001
TdiA,two indolepyruvate-derived units,dimerizes/couples,M4-FUNG-0069,R002
TdiB,terrequinone scaffold,prenylates twice,M4-FUNG-0069,R003
TdiE,off-pathway monoprenylated product,suppresses/diverts away from,M4-FUNG-0069,R004
VlmA/VlmB,5-hydroxytetradecanoate precursor,supply,M4-FUNG-0070,R001
VlmS,verlamelin cyclic lipopeptide,assembles,M4-FUNG-0070,R002
primary fatty-acid metabolism,verlamelin BGC,feeds,M4-FUNG-0070,R003
UstR,ust cluster transcription,positively regulates,M4-FUNG-0071,R001
UstA,16 YAIG precursor motifs,contains,M4-FUNG-0071,R002
KexB,mature ustiloxin B production outside the BGC,processes/enables,M4-FUNG-0071,R003
UstY/UstQ-family enzymes,oxidative macrocycle maturation,perform,M4-FUNG-0071,R004
ATM1,early paspaline core,builds/supports,M4-FUNG-0072,R001
ATM2,late oxidation/prenylation toward aflatrem,performs,M4-FUNG-0072,R002
ATM1 + ATM2,aflatrem,jointly produce,M4-FUNG-0072,R004
BcBOT2,FPP to presilphiperfolan-8β-ol,cyclizes,M4-FUNG-0073,R001
BcBOT4,presilphiperfolan-8β-ol at C-4,hydroxylates,M4-FUNG-0073,R002
BcBOT3,probotryane intermediate at C-10,hydroxylates,M4-FUNG-0073,R003
BcBot6,botrydial biosynthetic programme,positively regulates,M4-FUNG-0073,R004
BcBOT perturbation,botcinic-acid/polyketide output in a strain-dependent manner,can increase,M4-FUNG-0073,R005
Ari1/Prx2,FPP to aristolochene,cyclizes,M4-FUNG-0074,R001
ORF6/Prx9,eremofortin B formation,acts before or during,M4-FUNG-0074,R002
ORF8/Prx11,late eremophilane intermediate toward eremofortin A,acetylates,M4-FUNG-0074,R003
prx pathway suppression,mycophenolic-acid production,increases,M4-FUNG-0074,R004
static culture,P. chrysogenum homologous PR-toxin cluster,permits expression/product formation from,M4-FUNG-0074,R005
PbcR,AN1592–AN1598 diterpene programme,activates,M4-FUNG-0075,R001
PbcB/AN1592,GGPP precursor,supplies,M4-FUNG-0075,R002
PbcA/AN1594,isopimarane diterpene scaffold,forms,M4-FUNG-0075,R003
modern Pbc pathway,dipleosmarane + six known isopimarane diterpenoids,produces,M4-FUNG-0075,R004
PbGGS,GGPP precursor for PbACS,supplies,M4-FUNG-0076,R001
PbACS,aphidicolan-16β-ol scaffold,forms,M4-FUNG-0076,R002
PbP450-1 + PbP450-2,aphidicolane scaffold to aphidicolin,oxidatively tailor,M4-FUNG-0076,R003
ER localization of PbP450-1,efficient aphidicolin pathway execution,enables,M4-FUNG-0076,R004
AusA cluster,DMOA-derived polyketide precursor module,supplies,M4-FUNG-0077,R001
AusN-containing cluster,prenylation/cyclization/tailoring to austinol and dehydroaustinol,completes,M4-FUNG-0077,R002
NfSS,sesterfisherol,produces,M4-FUNG-0323,R001
NfP450,sesterfisherol → sesterfisheric acid,oxidizes,M4-FUNG-0323,R002
FCK1,AMP/DMAPP-derived cytokinin pathway,initiates,M4-FUNG-0324,R001
Fusarium cytokinins,plant cytokinin signalling,mimic,M4-FUNG-0324,R002
PerA,peramine,produces,M4-FUNG-0325,R001
peramine,ryegrass–Epichloë symbiotum from insect herbivory,protects,M4-FUNG-0325,R002
SthB,betaenone-family precursor → bridged tricyclic scaffold,cyclizes,M4-FUNG-0326,R001
host infection,cluster transcriptional access,correlates_with,M4-FUNG-0326,R002
lna cluster,lnb cluster,partially_redundant_with,M4-FUNG-0327,R001
L-Tyr-derived imine intermediate,piperazine/morpholine/oxidized products,branches_to,M4-FUNG-0327,R002
CalA + CalK,decalin branch,produces,M4-FUNG-0328,R001
CalA + CalH,polyene branch,produces,M4-FUNG-0328,R002
CalD,decalin + polyene portions,couples,M4-FUNG-0328,R003
acurin PKS,acurin NRPS,collaborates_with,M4-FUNG-0329,R001
split PKS + NRPS architecture,fission of ancestral PKS–NRPS hybrid,evolutionarily_consistent_with,M4-FUNG-0329,R002
Ev460pks,two polyenoic β-ketolactones,produces,M4-FUNG-0330,R001
Ev460pks,asteltoxin,not_required_for,M4-FUNG-0330,R002
AnATPKS,amino-acid-derived α-pyrone scaffold,produces,M4-FUNG-0331,R001
AnATPKS,amino-acid-derived α-pyrone scaffold,assembles,M4-FUNG-0434,R001
AnOMT,pyrophen pathway intermediates,methylates,M4-FUNG-0331,R002
AnOMT,pyrophen pathway intermediates,methylates,M4-FUNG-0434,R002
FGM4,fg3_54 transcriptional programme,activates,M4-FUNG-0332,R001
NRPS9,NRPS5 seven-module elongation,initiates,M4-FUNG-0332,R002
fusaoctaxin A,wheat cell-to-cell invasion,promotes,M4-FUNG-0332,R003
AfumA,squalene epoxide to hopane scaffold,cyclizes,M4-FUNG-0333,R001
AfumB,hopane intermediate,oxidatively tailors,M4-FUNG-0333,R002
AfumC,fumihopaside precursor,glycosylates,M4-FUNG-0333,R003
fumihopaside A,heat/UV stress tolerance,supports,M4-FUNG-0333,R004
BGC0002267 / cluster B,physically separate cluster A,collaborates_with,M4-FUNG-0426,R001
ATEG_07659 + ATEG_07661,preasperpyranone branch,construct_branch_precursor_for,M4-FUNG-0426,R002
three transcription factors,two-cluster azasperpyranone programme,coordinate_expression_of,M4-FUNG-0426,R003
PfpA,initial hybrid PKS-NRPS 2-pyridone precursor,assembles,M4-FUNG-0427,R001
PfpB,PfpA-derived pyridone intermediate,ring_expands,M4-FUNG-0427,R002
PfpC,ortho-quinone-methide intermediate,reduces_then_enables_dehydration_to,M4-FUNG-0427,R003
ortho-quinone-methide intermediate,"citridone A, tersone D and related scaffolds",branches_nonenzymatically_and_enzymatically_to,M4-FUNG-0427,R004
late pfp P450 activity,citridone B/B' quaternary-carbon scaffold,epoxidizes_and_rearranges_toward,M4-FUNG-0427,R005
PfpD; PfpE,additional cytochrome P450 tailoring enzymes,annotated_as,M4-FUNG-0427,R006
PfpF,MFS transporter,annotated_as,M4-FUNG-0427,R007
PfpG,transcription factor,annotated_as,M4-FUNG-0427,R008
mca17 regulator overexpression,MCA17-1 production,activates,M4-FUNG-0428,R001
hybrid PKS-NRPS core,MCA17-1 scaffold,proposed_to_build,M4-FUNG-0428,R002
SwnA/SwnR and unclustered routes,pipecolic acid,supply,M4-FUNG-0429,R001
SwnK,pipecolate into indolizidine intermediates,converts,M4-FUNG-0429,R002
SwnH1/SwnH2,late intermediates toward swainsonine,oxidize,M4-FUNG-0429,R003
atqA,asterriquinone CT5 production,required_for,M4-FUNG-0430,R001
anaPS,asterrelenin / epi-aszonalenin A family production,required_for,M4-FUNG-0431,R001
BtyA,butyrolactone I / III family production,required_for,M4-FUNG-0432,R001
BtyA adenylation domain,4-hydroxyphenylpyruvate,predicted_to_accept,M4-FUNG-0432,R002
ApvA,aspulvinone H / B1 production,required_for,M4-FUNG-0433,R001
ApvA adenylation domain,4-hydroxyphenylpyruvate,predicted_to_accept,M4-FUNG-0433,R002
phenylalanine analogue feeding,substituted pyrophen analogue output,redirects,M4-FUNG-0434,R003
ATRR,glycine betaine → glycine betaine aldehyde → choline,reduces,M4-FUNG-0435,R001
choline supplementation,Δatrr betaine-challenge growth phenotype,rescues,M4-FUNG-0435,R002
GreA,2 × 4-hydroxyphenylpyruvate → atromentin,condenses,M4-FUNG-0436,R001
GreA adenylation domain,4-hydroxyphenylpyruvate; phenylpyruvate,accepts,M4-FUNG-0436,R002
PbhdaA deletion,brs transcription and brasiliamide I production,derepresses,M4-FUNG-0437,R001
BrsA,L-phenylalanine-derived piperazine scaffold,selects_and_assembles,M4-FUNG-0437,R002
BrsJ,piperazine ring toward brasiliamide A,cleaves,M4-FUNG-0437,R003
brsH / brsD deletion,brasiliamide congener profile,alters,M4-FUNG-0437,R004
Omp6 enzyme,FPP → δ-6 protoilludene,cyclizes,M4-FUNG-0438,R001
Omp6 enzyme,FPP → δ-6 protoilludene,cyclizes,M4-FUNG-0439,R001
Omp7 enzyme,FPP → δ-6 protoilludene,cyclizes,M4-FUNG-0438,R002
Omp7 enzyme,FPP → δ-6 protoilludene,cyclizes,M4-FUNG-0439,R002
Omp6/Omp7 loci,duplicated protoilludene-synthase programme with distinct neighboring tailoring repertoires,show,M4-FUNG-0438,R003
Omp6/Omp7 loci,duplicated protoilludene-synthase programme with distinct neighboring tailoring repertoires,show,M4-FUNG-0439,R003
SmbA + SmbB,early tetramic/pyridone scaffold,assemble,M4-FUNG-0440,R001
SmbE,C11 hydroxylation → tetrahydropyran ring formation,enables,M4-FUNG-0440,R002
SmbF,phenylalanine-derived side chain at para position,hydroxylates,M4-FUNG-0440,R003
SmbG,N-demethylsambutoxin → sambutoxin,N-methylates,M4-FUNG-0440,R004
bisA-bisK programme,biscognienyne/eutypinic-acid pathway outputs,produces,M4-FUNG-0441,R001
BisI,prenyl chains,alkynylates,M4-FUNG-0441,R002
BisI,C5 and C15 prenyl-chain substrates,accepts,M4-FUNG-0441,R003
precursor feeding,bis pathway intermediate and branch products,redirects/reveals,M4-FUNG-0441,R004
AshP,γ-naphthopyrone coupling substrate,produces,M4-FUNG-0442,R001
AshL,γ-naphthopyrones → axially chiral dimer,oxidatively_couples,M4-FUNG-0442,R002
laccase identity/reaction conditions,M/P atropisomeric outcome,control,M4-FUNG-0442,R003
PvhA + PvhC,reactive acyclic precursor 3,produce,M4-FUNG-0443,R001
PvhE,3 → carboxylated 6,deactivates,M4-FUNG-0443,R002
PvhD,6 → 7,methylates,M4-FUNG-0443,R003
PvhB,6/7 → cis-decalin varicidin products,cyclizes,M4-FUNG-0443,R004
Pc20g10860,GGPP → deoxyconidiogenol,cyclizes,M4-FUNG-0444,R001
Pc20g10870,deoxyconidiogenol → conidiogenone,oxidizes,M4-FUNG-0444,R002
conidiogenone,conidiation in P. cyclopium,historically_induces,M4-FUNG-0444,R003
Snf2 activity,PUL1-PUL3,supports transcription of,M4-FUNG-0445,R001
snf2 loss-of-function,cyclo(Leu-Leu) / pulcherriminic acid metabolite set,abolishes detectable,M4-FUNG-0445,R002
pulcherriminic acid,pulcherrimin pigment,chelates Fe(III) to form,M4-FUNG-0445,R003
SNF2 complementation,pigmentation and strong antifungal phenotype,restores,M4-FUNG-0445,R004
MelA,4-hydroxyphenylpyruvate → aspulvinone E,converts,M4-FUNG-0446,R001
TyrP,aspulvinone E → reactive oxidized species,oxidatively_activates,M4-FUNG-0446,R002
reactive TyrP products,Asp-melanin,spontaneously_polymerize_into,M4-FUNG-0446,R003
Asp-melanin,UV stress,protects_against,M4-FUNG-0446,R004
Asp-melanin,soil-amoeba phagocytosis,reduces,M4-FUNG-0446,R005
ctdQ,21R-citrinadin A biosynthesis,required_for,M4-FUNG-0447,R001
CtdU,citrinadin intermediate at C7,prenylates,M4-FUNG-0447,R002
CtdE,bicyclo[2.2.2]diazaoctane PIA intermediates → 3S-spirooxindoles,spirocyclizes,M4-FUNG-0447,R003
aetokthonotoxin,"cyanobacterial BGC0002643, not fungal BGC0002368",belongs_to,M4-FUNG-0447,R004
Cladosporium sp. SW67,cladosporiumins I/J,produces,M4-FUNG-0448,R001
clsI + clsK,tetramic-acid metabolite biosynthesis,putatively_contribute_to,M4-FUNG-0448,R002
SubA/SubC/SubD plus conserved SubB/SubE classes,common DDP intermediate 4,assemble,M4-FUNG-0449,R001
SubF/DpmaF,common DDP intermediate → subglutinols A/B,oxidatively_tailors,M4-FUNG-0449,R002
subglutinol A,Drosophila DL-1 cell growth,inhibits,M4-FUNG-0449,R003
subglutinol A injection,acute adult-Drosophila paralysis/unmoving phenotype,causes,M4-FUNG-0449,R004
dpfgA-E,common decalin-containing diterpenoid-pyrone core,build,M4-FUNG-0450,R001
dpfgA-E,common decalin-containing diterpenoid-pyrone intermediate,build,M4-FUNG-0594,R003
dpfgG/dpfgH,C8 stereochemistry by sequential oxidation/reduction,invert,M4-FUNG-0450,R002
dpfgI/dpfgJ/dpfgK,late FDDP intermediates → FDDP-D/E,tailor,M4-FUNG-0450,R003
C16 PKS/terpene-synthase integrity,native FDDP-D/E production,is_required_for,M4-FUNG-0450,R004
dpchA-E core,common decalin-containing diterpenoid-pyrone intermediate,builds,M4-FUNG-0451,R001
DpchG/DpchH,C8 stereochemistry,invert,M4-FUNG-0451,R002
DpchF,late dpch intermediate → higginsianin A,converts,M4-FUNG-0451,R003
higginsianin B,JAZ degradation / JA-Ile signalling,inhibits,M4-FUNG-0451,R005
P. chartarum spores,sporidesmin-family toxins,contain,M4-FUNG-0452,R001
sporidesmin A exposure,facial eczema/pithomycotoxicosis in grazing ruminants,causes,M4-FUNG-0452,R002
Spd candidate locus,characterized fungal ETP biosynthetic clusters,is_homologous_to,M4-FUNG-0452,R003
Pro1,FPP → 6-protoilludene,cyclizes,M4-FUNG-0453,R001
CYP-Arm3,6-protoilludene → 8α-hydroxy-6-protoilludene,8α-hydroxylates,M4-FUNG-0453,R002
CYP-Arm2,6-protoilludene → unresolved polar product,weakly transforms,M4-FUNG-0453,R003
complete armillyl-orsellinate programme,BGC0002445 five-gene early module,extends beyond,M4-FUNG-0453,R004
BsPS/Ssk6,preterpestacin I scaffold,synthesizes,M4-FUNG-0454,R001
ssk6 deletion,native preterpestacin-derived metabolite programme,disrupts,M4-FUNG-0454,R002
ssk4 glycosyltransferase candidate,glycosylated terpestacin branch,is associated with,M4-FUNG-0454,R003
selected downstream congeners,LPS-induced NO production in RAW264.7 cells,inhibit,M4-FUNG-0454,R004
MPAS/CuPKS1,methylphloracetophenone precursor,is_proposed_to_synthesize,M4-FUNG-0455,R001
MPAO,methylphloracetophenone toward usnic acid,is_proposed_to_oxidatively_dimerize,M4-FUNG-0455,R002
intact lichen state,mpas/mpao transcription and usnic-acid detection,co-occurs_with,M4-FUNG-0455,R003
pen cluster,"α,β-polysulfide ETP family",is_candidate_source_of,M4-FUNG-0456,R001
PenP,Phe-derived diketopiperazine scaffold,is_proposed_to_assemble,M4-FUNG-0456,R002
isolated ETP congeners,adametizine/penigainamide/FA2097-related states,interconvert_nonenzymatically,M4-FUNG-0456,R003
adametizine A,selective cytotoxicity and mild antiaging activity,shows,M4-FUNG-0456,R004
G9 FUM-cluster haplotype,fumonisin-producing progeny,segregates_with,M4-FUNG-0457,R001
