metabolite_key,dossier_id,metabolite_id,name_raw,congener_or_variant_raw,formula,structure_id,chemical_role_raw,bioactivity_raw,recovery_location_raw,identification_level_raw,source_ids,note,source_row
M4-FUNG-0027:M006,M4-FUNG-0027,M006,2-methylbutyryl-LovF ACP thioester,carrier-bound side-chain intermediate,NR,protein-bound,LovF-derived acyl donor for LovD,NA,LovF ACP,biochemical carrier-bound intermediate,S008,Not a freely accumulating metabolite; encoded to preserve spatial/substrate-channeling logic.,131
M4-FUNG-0027:M007,M4-FUNG-0027,M007,LovB shunt pyrones,misprogrammed intermediates,various,NR,products of incomplete methylation/enoyl reduction or improper LovC gating,NA,cell-free LovB assay,LC-MS,S005,Negative execution evidence revealing iterative-PKS gatekeeping.,132
M4-FUNG-0028:M001,M4-FUNG-0028,M001,lovastatin,shared product with active BGC0000088,C24H36O5,MIBiG/PubChem,final statin,HMG-CoA-reductase inhibitor,see BGC0000088,exact,S001; S003,No independent product entity.,113
M4-FUNG-0029:M001,M4-FUNG-0029,M001,monacolin K,lovastatin-identical final product,C24H36O5,NPAtlas/PubChem,final statin lactone,HMG-CoA-reductase inhibitor,fermentation broth/substrate,authentic standard + HPLC/structure identity,S001; S006; S011,,116
M4-FUNG-0029:M002,M4-FUNG-0029,M002,monacolin J,mokB-blocked intermediate,NR,NR,deacylated statin core / acyl acceptor,pathway intermediate,mokB-deficient M. pilosus extract,structural confirmation in defining mokB study,S004,Directly localizes MokB to side-chain formation.,117
M4-FUNG-0029:M003,M4-FUNG-0029,M003,monacolin K hydroxy-acid,open-ring active form,C24H38O6,NR,pharmacologically active chemical state,HMG-CoA-reductase inhibitor,analytical/physiological chemical form,well-established compound chemistry,S011,Keep separate from lactone in quantitative assays when reported.,118
M4-FUNG-0030:M001,M4-FUNG-0030,M001,monascorubrin,major red/orange azaphilone scaffold,C23H26O5,MIBiG compound,main red-pigment precursor/scaffold,colorant/pigment,culture filtrate,standard-matched UHPLC-MS/MS,S001; S003,,113
M4-FUNG-0030:M002,M4-FUNG-0030,M002,rubropunctatin,shorter-chain azaphilone pigment,monascorubrin minus C2H4,NR,red-pigment scaffold/congener,colorant/pigment,culture filtrate,MS/MS + conjugate profiling,S003,Detected chiefly through amino-acid conjugates in this study.,114
M4-FUNG-0030:M003,M4-FUNG-0030,M003,ankaflavin,reduced yellow-pigment branch product,C23H30O5,NR,reduced end product of same five-gene pathway,yellow pigment,culture filtrate,UHPLC-MS/MS,S003,Absent in pks3 and rp1–rp4 knockdowns.,115
M4-FUNG-0030:M004,M4-FUNG-0030,M004,citrinin,early branch/side product,C13H14O5,NR,toxic early branch product from PKS3/RP1-dependent part of pathway,nephrotoxic mycotoxin,culture filtrate,standard-matched UHPLC-MS/MS,S003,"Retained in rp2/rp3/rp4 knockdowns, placing branch upstream of fatty-acid module.",116
M4-FUNG-0030:M005,M4-FUNG-0030,M005,compound 1,yellow/orange polyketide intermediate,C13H12O4,NR,PKS3-derived intermediate/chromophore branch,NR,culture filtrate,UHPLC-MS/MS,S003,Accumulates 2.8–6.4× in rp2/rp3/rp4 knockdowns.,117
M4-FUNG-0030:M006,M4-FUNG-0030,M006,3-oxo-decanoic acid,fatty-acid branch intermediate,C10H18O3,NR,fatty-acid-derived partner proposed to combine with PKS3-derived chromophore,NR,pks3/rp1 knockdown culture,UHPLC-MS/MS,S003,Absent from WT and rp2/rp3/rp4 knockdowns; accumulates when chromophore branch is unavailable.,118
M4-FUNG-0030:M007,M4-FUNG-0030,M007,monascorubrin amino-acid conjugates,≥14 amino-acid Schiff-base products,various,NR,post-biosynthetic pigment diversification,color variants,culture filtrate / amino-acid-supplemented medium,UHPLC-MS/MS + color matching,S003,"Arg, Lys, Asn, Ser, Glu, Tyr, Gly, Asp, Trp, Val, Met, Leu, Ile, Phe conjugates detected.",119
M4-FUNG-0030:M008,M4-FUNG-0030,M008,rubropunctatin amino-acid conjugates,Arg/Phe conjugates,various,NR,post-biosynthetic pigment diversification,color variants,culture filtrate,UHPLC-MS/MS,S003,Arginine and phenylalanine conjugates detected.,120
M4-FUNG-0031:M001,M4-FUNG-0031,M001,emodin,anthraquinone pathway intermediate/product,C15H10O5,PubChem,central anthraquinone intermediate,broad compound-level bioactivity; not used here as ecological-role proof,extracts / developmental tissues,LC-MS/NMR/authentic assignment,S001; S003,,123
M4-FUNG-0031:M002,M4-FUNG-0031,M002,monodictyphenone,benzophenone pathway product/intermediate,C15H12O6,NPAtlas/PubChem,branch point toward prenylated xanthones,NR,culture extract,isolation + LC-MS/NMR,S001; S003,,124
M4-FUNG-0031:M003,M4-FUNG-0031,M003,shamixanthone,prenylated xanthone final product,C25H26O5,NPAtlas/PubChem,mature prenyl-xanthone,antifeedant/defensive ensemble in sexual structures,culture/developmental tissue,LC-MS/NMR,S001; S004; S009,Requires distal xpt genes.,125
M4-FUNG-0031:M004,M4-FUNG-0031,M004,epishamixanthone,stereoisomeric prenylated xanthone,C25H26O5,NR,mature prenyl-xanthone,developmental defense-associated ensemble,culture/developmental tissue,LC-MS/NMR,S004; S009,,126
M4-FUNG-0031:M005,M4-FUNG-0031,M005,emericellin,prenylated xanthone intermediate/product,NR,NR,late xanthone-pathway metabolite,NR,culture extract,LC-MS/NMR,S004,,127
M4-FUNG-0031:M006,M4-FUNG-0031,M006,endocrocin,anthraquinone shunt/intermediate,NR,NR,product favored when MdpH decarboxylation route is disrupted/incomplete,NR,mdpH mutant extract,isolation/LC-MS,S003; S006,Strong pathway-localization intermediate.,128
M4-FUNG-0031:M007,M4-FUNG-0031,M007,arugosin H/A/F and related benzophenones,branch intermediates,various,NR,prenylated/reduced benzophenone intermediates connecting mdp and xpt chemistry,NR,culture extract,LC-MS/NMR,S004,,129
M4-FUNG-0031:M008,M4-FUNG-0031,M008,variecoxanthone A,xanthone-pathway intermediate/product,NR,NR,prenyl-xanthone pathway member,NR,culture extract,LC-MS/NMR,S004,,130
M4-FUNG-0032:M001,M4-FUNG-0032,M001,mycophenolic acid,final product,C17H20O6,PubChem CID 446541,final immunosuppressive meroterpenoid,IMPDH inhibitor / immunosuppressant,YES/culture extract,authentic standard + LC-MS / extensive structural literature,S001; S003; S010,,116
M4-FUNG-0032:M002,M4-FUNG-0032,M002,5-methylorsellinic acid,5-MOA,C9H10O4,NR,MpaC polyketide product,pathway intermediate,heterologous A. nidulans / pathway assays,NMR + HRMS,S003; S004,,117
M4-FUNG-0032:M003,M4-FUNG-0032,M003,DHMB,"4,6-dihydroxy-2-(hydroxymethyl)-3-methylbenzoic acid",NR,NR,MpaD hydroxylation product,pathway intermediate,MpaD-only heterologous strain,HRMS / pathway localization,S004,,118
M4-FUNG-0032:M004,M4-FUNG-0032,M004,DHMP,"5,7-dihydroxy-4-methylphthalide",NR,NR,phthalide intermediate after MpaDE,pathway intermediate,mpaC+mpaDE heterologous strain,NMR + HRMS,S004,,119
M4-FUNG-0032:M005,M4-FUNG-0032,M005,FDHMP,farnesyl-DHMP,NR,NR,MpaA prenylation product,pathway intermediate,heterologous/full-pathway system,LC-MS / biochemical assignment,S006,,120
M4-FUNG-0032:M006,M4-FUNG-0032,M006,FDHMP-3C,oxidatively shortened prenyl intermediate,NR,NR,MpaB oxidative-cleavage product,pathway intermediate,heterologous/full-pathway system,LC-MS / biochemical assignment,S006,,121
M4-FUNG-0032:M007,M4-FUNG-0032,M007,demethylmycophenolic acid,DMMPA,NR,NR,late unmethylated substrate for MpaG,pathway intermediate,enzyme assays,LC-MS/structural biochemistry,S008; S009,,122
M4-FUNG-0032:M008,M4-FUNG-0032,M008,MPA-CoA,peroxisomal terminal thioester,NR,CoA thioester,substrate for MpaH,NA,peroxisome / biochemical assays,structural/enzymatic assignment,S006; S007,,123
M4-FUNG-0032:M009,M4-FUNG-0032,M009,MPA diol lactone / 4-O-mycophenolate / deacetylpebrolide,source-strain pathway-related congeners,various,NR,related metabolites requiring MpaC,NR,IBT23078 extract,LC-MS,S003,All absent in clean mpaC deletion.,124
M4-FUNG-0033:M001,M4-FUNG-0033,M001,YWA1,yellow naphthopyrone,C14H12O6,NPA033448,WA PKS product and conidial-pigment backbone precursor,native pigment intermediate,heterologous culture / conidial pathway,exact structure by isolation/synthesis,S004; S012,True full-length WA product; earlier truncated-WA products were misassigned.,113
M4-FUNG-0033:M002,M4-FUNG-0033,M002,YWA2,dehydration product of YWA1,NR,NR,nonenzymatic derivative,NR,chemical/experimental systems,structurally characterized,S011,Can form by nonenzymatic dehydration; not encoded as a separate enzymatic step.,114
M4-FUNG-0033:M003,M4-FUNG-0033,M003,yellow yA-mutant pigment state,downstream YWA1-derived material,NR,NR,precursor state accumulated without YA laccase,spore-wall pigment,conidial wall,phenotypic/biochemical state; exact molecule unresolved,S005; S008,Do not equate automatically with pure YWA1.,115
M4-FUNG-0033:M004,M4-FUNG-0033,M004,mature green conidial pigment,polymeric/modified YWA1-derived pigment,NR,NR,final biological pigment state,UV photoprotection/stress resistance,conidial wall,chemical structure incompletely resolved,S007; S008,Final pigment is a phenotype/ensemble rather than a fully assigned small molecule.,116
M4-FUNG-0034:M001,M4-FUNG-0034,M001,patulin,final mycotoxin,C7H6O4,MIBiG/PubChem,final product,food mycotoxin; cultivar-dependent aggressiveness factor,culture medium/fruit,exact structure,S001; S004,,122
M4-FUNG-0034:M002,M4-FUNG-0034,M002,6-methylsalicylic acid,6-MSA,C8H8O3,NR,PatK product,pathway intermediate,intracellular/culture,established intermediate,S005; S006,,123
M4-FUNG-0034:M003,M4-FUNG-0034,M003,m-cresol,PatG product,C7H8O,NR,PatH substrate,pathway intermediate,heterologous/native,established,S005,,124
M4-FUNG-0034:M004,M4-FUNG-0034,M004,m-hydroxybenzyl alcohol,P450 intermediate,C7H8O2,NR,PatI substrate,pathway intermediate,heterologous/native,established,S005,,125
M4-FUNG-0034:M005,M4-FUNG-0034,M005,gentisyl alcohol,early-middle intermediate,C7H8O3,NR,PatO/PatJ-stage substrate,pathway intermediate,native/feeding context,established,S006; S008,Exact conversion to isoepoxydon remains incompletely partitioned.,126
M4-FUNG-0034:M006,M4-FUNG-0034,M006,isoepoxydon,middle intermediate,C7H8O4,NR,PatN substrate,pathway intermediate,mutant/feeding,established,S006,,127
M4-FUNG-0034:M007,M4-FUNG-0034,M007,phyllostine,middle-late intermediate,C7H6O4,NR,PatF substrate,pathway intermediate,mutant/feeding,established,S006,,128
M4-FUNG-0034:M008,M4-FUNG-0034,M008,neopatulin,late intermediate,C7H8O4,NR,PatD substrate,pathway intermediate,mutant/feeding,established,S006; S008,,129
M4-FUNG-0034:M009,M4-FUNG-0034,M009,E-ascladiol,immediate precursor,C7H8O4,NR,PatE substrate,late pathway intermediate,ΔpatE culture,direct accumulation,S006; S009,,130
M4-FUNG-0034:M010,M4-FUNG-0034,M010,Z-ascladiol,late transformation product/isomer,C7H8O4,NR,patulin-related transformation product,lower toxicity in tested human cells,culture/chemical transformation,identified,S009,Not a required canonical step.,131
M4-FUNG-0035:M001,M4-FUNG-0035,M001,pestheic acid,RES-1214-2 / dihydromaldoxin,C17H15ClO8,PubChem CID 9842980,final chlorinated diphenyl ether,ETA-receptor antagonist; reported plant-growth regulator,fermentation extract,authentic-standard match / established structure,S003; S007; S009,Normalize RES-1214-2 and pestheic acid as synonyms.,123
M4-FUNG-0035:M002,M4-FUNG-0035,M002,RES-1214-1,nonchlorinated diphenyl ether,NR,NR,nonchlorinated product/intermediate that can be halogenated by PtaM,ETA-receptor antagonist,ptaE/PtaM pathway contexts,chemical identification,S003; S006; S009,Distinct from RES-1214-2/pestheic acid.,124
M4-FUNG-0035:M003,M4-FUNG-0035,M003,isosulochrin,nonchlorinated benzophenone,NR,NR,PtaM/PtaE substrate state,NR,ptaM mutant / pathway extracts,LC-MS/structural assignment,S003; S006,Accumulates when halogenation is blocked.,125
M4-FUNG-0035:M004,M4-FUNG-0035,M004,chloroisosulochrin,chlorinated benzophenone,NR,NR,chlorinated precursor to oxidative diphenyl-ether formation,plant-growth-regulator activity reported in P. theae,pathway extract,chemical identification,S003; S006; S010,,126
M4-FUNG-0035:M005,M4-FUNG-0035,M005,physcion-like methylated anthraquinone state,methylated emodin-family intermediate,NR,NR,proposed PtaJ substrate region,NR,pathway model,homology/intermediate-supported,S005,Exact in-vivo methylation order remains unresolved.,127
M4-FUNG-0035:M006,M4-FUNG-0035,M006,emodin-family anthraquinone intermediates,early aromatic branch,various,NR,upstream scaffold before methylation/ring cleavage,NR,mutant/pathway model,comparative pathway assignment,S005,,128
M4-FUNG-0035:M007,M4-FUNG-0035,M007,chloropupukeananin precursor relationship,pestheic-acid participation in higher-order natural-product chemistry,NA,NR,pestheic acid can serve as one proposed biosynthetic precursor in chloropupukeanane formation,"antitumor/antiviral activities belong to downstream molecules, not pestheic acid itself",P. fici natural-product context,biosynthetic proposal + co-isolation,S010,Do not conflate downstream product activity with pestheic acid.,129
M4-FUNG-0036:M001,M4-FUNG-0036,M001,pyripyropene A,final product,C31H37NO10,MIBiG,final meroterpenoid,ACAT inhibitor; native mixed-biofilm/host role,culture/supernatant,exact,S001; S008,,116
M4-FUNG-0036:M002,M4-FUNG-0036,M002,HPPO,early polyketide,NR,NR,Pyr6 substrate,NR,heterologous system,direct,S003,,117
M4-FUNG-0036:M003,M4-FUNG-0036,M003,deacetyl-pyripyropene E,cyclized intermediate,NR,NR,Pyr7 substrate,NR,heterologous system,direct,S003; S005,,118
M4-FUNG-0036:M004,M4-FUNG-0036,M004,pyripyropene E,late intermediate,NR,NR,Pyr3 substrate,NR,homolog bioconversion,assigned,S004; S005,,119
M4-FUNG-0036:M005,M4-FUNG-0036,M005,pyripyropene O / deacetyl-pyripyropene A,late states,NR,NR,Pyr9/Pyr8 intermediates,NR,homolog bioconversion,assigned,S004; S005,,120
M4-FUNG-0037:M001,M4-FUNG-0037,M001,radicicol,final product,C18H17ClO6,MIBiG/PubChem,chlorinated epoxide RAL,potent Hsp90 inhibitor,fungal culture,exact structure,S001; S003,,112
M4-FUNG-0037:M002,M4-FUNG-0037,M002,(R)-monocillin II,earliest reconstructed RAL scaffold,NR,NR,Rdc1/Rdc5 product and Rdc2 substrate,pathway intermediate,in-vitro/yeast,direct reconstitution,S004,,113
M4-FUNG-0037:M003,M4-FUNG-0037,M003,pochonin D,chlorinated deepoxy RAL,NR,NR,Rdc2 chlorination product / late intermediate,pathway intermediate/congener,in-vitro/in-vivo Rdc2 assay,directly generated,S004; S005,,114
M4-FUNG-0037:M004,M4-FUNG-0037,M004,monocillins III–V,chlorine-free congeners,NR,NR,diagnostic products during Rdc2 suppression,pathway shunt/intermediate family,NaBr-treated producer,culture metabolite identification,S006,,115
M4-FUNG-0037:M005,M4-FUNG-0037,M005,"6-chloro-7',8'-dehydrozearalenol",engineered halogenated analog,NR,NR,Rdc2 promiscuity product,biocatalytic analog,heterologous/in-vitro,direct product,S004,Not native radicicol endpoint.,116
M4-FUNG-0038:M001,M4-FUNG-0038,M001,solanapyrone D,MIBiG primary compound,C18H22O4,NPAtlas,cyclized aldehyde congener,phytotoxicity family member,culture extract,exact structure,S001; S008,,113
M4-FUNG-0038:M002,M4-FUNG-0038,M002,solanapyrone A,major cyclized aldehyde congener,NR,NR,Sol5 cyclization product,strong phytotoxin; DNA-polymerase β/λ inhibitor reported,culture extract / purified enzyme assay,exact structure + purified-enzyme formation,S003; S004; S009,Major direct Sol5 product in biochemical studies.,114
M4-FUNG-0038:M003,M4-FUNG-0038,M003,solanapyrone B,reduced alcohol congener,NR,NR,Sol3-reduced derivative of solanapyrone A,less phytotoxic than A in pathway literature,culture extract,structurally established,S007; S009,Often not detected consistently in later A. solani LC-MS cultures.,115
M4-FUNG-0038:M004,M4-FUNG-0038,M004,solanapyrone E,reduced alcohol congener,NR,NR,Sol3-reduced derivative of solanapyrone D,NR,culture extract,structurally established,S007; S009,,116
M4-FUNG-0038:M005,M4-FUNG-0038,M005,solanapyrone C,ethanolamine adduct of solanapyrone A,C19H25NO4,NR,host-/chemistry-derived product in A. oryzae reconstitution,NR,heterologous culture extract,NMR; matches known solanapyrone C,S006,Produced at high titer in A. oryzae because ethanolamine reacts nonenzymatically with solanapyrone A.,117
M4-FUNG-0038:M006,M4-FUNG-0038,M006,desmethylprosolanapyrone I,Sol1 product,NR,NR,octaketide precursor,pathway intermediate,A. oryzae AO-sol1 extract,isolated + structural confirmation,S003; S006,,118
M4-FUNG-0038:M007,M4-FUNG-0038,M007,prosolanapyrone I,Sol2 product,NR,NR,O-methylated precursor,pathway intermediate,A. oryzae AO-sol1/2 extract,authentic comparison,S006; S007,,119
M4-FUNG-0038:M008,M4-FUNG-0038,M008,prosolanapyrone II,Sol6 product,NR,NR,hydroxylated direct Sol5 substrate,pathway intermediate,heterologous reconstruction,authentic comparison,S006; S007,,120
M4-FUNG-0038:M009,M4-FUNG-0038,M009,prosolanapyrone III,oxidized reactive diene/dienophile state,NR,NR,Sol5-generated immediate cyclization substrate,pathway intermediate,enzyme-mechanism context,mechanistically established,S003; S007; S009,Highly reactive; not normally accumulated as stable native metabolite.,121
M4-FUNG-0038:M010,M4-FUNG-0038,M010,prosolanapyrone II-diol,Δsol5 shunt/accumulation product,NR,NR,nonproductive shunt state when Sol5 is absent,not phytotoxic to plants in the 2015 assay,Δsol5 culture extract,LC-MS + NMR,S004,Important negative-execution marker.,122
M4-FUNG-0039:M001,M4-FUNG-0039,M001,sterigmatocystin,final A. nidulans product,C18H12O6,MIBiG/PubChem,final mycotoxin,mutagenic/carcinogenic; aflatoxin precursor in other Aspergillus spp.,fungal culture extract,exact structure,S001; S003,,132
M4-FUNG-0039:M002,M4-FUNG-0039,M002,norsolorinic acid,first stable colored intermediate,NR,NR,early-pathway diagnostic,pathway intermediate,NOR-accumulating mutants,authentic standard / visible orange pigment,S006,Used for large mutant screen.,133
M4-FUNG-0039:M003,M4-FUNG-0039,M003,averantin,early intermediate,NR,NR,oxidative pathway intermediate,pathway intermediate,stcF/comparative mutant studies,chromatographic standard,S010,,134
M4-FUNG-0039:M004,M4-FUNG-0039,M004,averufin,middle intermediate,NR,NR,substrate for later monooxygenase sequence,pathway intermediate,stcB/stcW mutants,authentic-standard HPLC/TLC,S010,,135
M4-FUNG-0039:M005,M4-FUNG-0039,M005,versicolorin A,late-middle intermediate,NR,NR,substrate for StcS/StcU late conversion,pathway intermediate,stcS/stcU mutants,direct accumulation/feeding,S004,,136
M4-FUNG-0039:M006,M4-FUNG-0039,M006,demethylsterigmatocystin,immediate methylation precursor,NR,NR,StcP substrate,late intermediate,ΔstcP mutant,direct accumulation,S008,,137
M4-FUNG-0040:M001,M4-FUNG-0040,M001,stipitatic acid,final tropolone product,C8H6O5,PubChem CID 20501,final tropolone carboxylic acid,native ecological role unresolved,fungal culture extract,exact structure,S001; S003; S009,,120
M4-FUNG-0040:M002,M4-FUNG-0040,M002,3-methylorcinaldehyde,TropA product,NR,NR,PKS-derived aromatic aldehyde / TropB substrate,pathway intermediate,ΔtropB and heterologous TropA extracts,isolated/structurally assigned,S003,,121
M4-FUNG-0040:M003,M4-FUNG-0040,M003,"3,5-dimethyl pyrone",TropA heterologous shunt,NR,NR,heterologous PKS shunt product,NA,A. oryzae TropA culture,chemical identification,S003,Not a required native intermediate.,122
M4-FUNG-0040:M004,M4-FUNG-0040,M004,5-hydroxy-3-methylorcinaldehyde,minor ΔtropB shunt,NR,NR,alternative hydroxylated aromatic state,pathway shunt,ΔtropB extract,chemical identification,S003,,123
M4-FUNG-0040:M005,M4-FUNG-0040,M005,TropB dearomatized dienone,hydroxycyclohexadienone,NR,NR,direct TropB product / TropC substrate,pathway intermediate,purified enzyme assay,direct enzymatic product,S003; S005,,124
M4-FUNG-0040:M006,M4-FUNG-0040,M006,stipitaldehyde,first tropolone-nucleus state,NR,NR,TropC ring-expansion product / TropD substrate,pathway intermediate,purified-enzyme and mutant context,direct pathway assignment,S003,,125
M4-FUNG-0040:M007,M4-FUNG-0040,M007,TropC-knockout dione / talaroenamine,ring-expansion-block shunts,C9H10O4 / NR,NR,diagnostic products when TropC is absent,shunt metabolites,ΔtropC culture,chemical characterization,S003,,126
M4-FUNG-0040:M008,M4-FUNG-0040,M008,stipitacetal,TropD-derived hemiacetal state,NR,NR,late oxidative intermediate,pathway intermediate,late-pathway studies,chemical characterization,S004,,127
M4-FUNG-0040:M009,M4-FUNG-0040,M009,stipitafuran,TropD-context shunt,NR,NR,cyclized/dehydrated shunt,pathway shunt,mutant/pathway context,chemical characterization,S004,,128
M4-FUNG-0040:M010,M4-FUNG-0040,M010,stipitalide,lactone intermediate,NR,NR,TropE-derived late intermediate / TropF substrate,pathway intermediate,late-pathway studies,chemical characterization,S004,,129
M4-FUNG-0040:M011,M4-FUNG-0040,M011,stipitatonic acid,maleic-anhydride pathway state,NR,NR,late precursor in stipitatic-acid formation,pathway intermediate,knockout/in-vitro studies,chemical characterization,S004,,130
M4-FUNG-0040:M012,M4-FUNG-0040,M012,"late 1,2-dicarboxylate",open-chain dicarboxylic-acid state,NR,NR,TropH/TropI/TropJ substrate network,pathway intermediate,in-vitro multi-enzyme assay,pathway-localized,S004,Interconverts with corresponding anhydride state.,131
M4-FUNG-0041:M001,M4-FUNG-0041,M001,T-toxin family,host-selective toxin mixture,C35/C37–C45 homologues,NR,final linear polyketide/polyol toxin family,T-cms-selective mitochondrial toxin,culture filtrate/plugs/host,family-level structures,S003; S009; S012,,117
M4-FUNG-0041:M002,M4-FUNG-0041,M002,C41 T-toxin,major component,C41 chain-length member,NR,major toxin homologue,host-selective activity,culture/host context,historical structural assignment,S009; S012,,118
M4-FUNG-0042:M001,M4-FUNG-0042,M001,TAN-1612,final methylated naphthacenedione,C21H18O9,MIBiG/PubChem,final pathway product,potential neuropeptide-Y receptor antagonist; nonantibiotic anhydrotetracycline scaffold,A. niger/heterologous yeast extracts and supernatants,exact structure,S001; S003; S008,,113
M4-FUNG-0042:M002,M4-FUNG-0042,M002,desmethyl TAN-1612,C9-desmethyl congener,C20H16O9,MIBiG,AdaD substrate/product of methylation block,pathway intermediate/congener,heterologous/native-engineering extracts,exact mass/structure class,S001; S003,,114
M4-FUNG-0042:M003,M4-FUNG-0042,M003,"1-(2,3,5,10-tetrahydroxy-7-methoxy-4-oxo-1,2,3,4-tetrahydroanthracen-2-yl)pentane-2,4-dione",MIBiG-listed intermediate/congener,C20H20O8,MIBiG,naphthacenedione-related pathway product,NR,heterologous pathway context,exact MIBiG structure,S001,,115
M4-FUNG-0042:M004,M4-FUNG-0042,M004,BMS-192548,tautomer/isomeric purification form related to TAN-1612,NR,NR,related tetracyclic product state,neurokinin-1 receptor antagonist,A. niger WB2346 fermentation extract,exact isolated structure,S004; S005; S009,Later reviews treat BMS-192548 as likely tautomerized from TAN-1612 during purification.,116
M4-FUNG-0042:M005,M4-FUNG-0042,M005,unhydroxylated tricyclic decaketide product ('compound 10'),AdaA+AdaB product without AdaC,C20-derived tricyclic state,NR,diagnostic hydrolysis product when α-hydroxylation is absent,pathway shunt/diagnostic,S. cerevisiae heterologous extract,NMR-characterized in 2011 study,S003,Demonstrates AdaC-dependent off-loading switch.,117
M4-FUNG-0043:M001,M4-FUNG-0043,M001,terreic acid,final product,C7H6O4,CAS 121-40-4,final quinone epoxide,MurA/BTK inhibitor,native/heterologous broth,exact,S001; S003; S004; S006; S007,,116
M4-FUNG-0043:M002,M4-FUNG-0043,M002,6-methylsalicylic acid,6-MSA,C8H8O3,NR,AtX product,NR,native/heterologous,standard/NMR,S003; S004; S005,,117
M4-FUNG-0043:M003,M4-FUNG-0043,M003,3-methylcatechol,AtA product,C7H8O2,NR,AtE substrate,NR,heterologous culture,NMR/LC-MS,S004,,118
M4-FUNG-0043:M004,M4-FUNG-0043,M004,"3-methyl-1,2,4-benzenetriol",AtE product,C7H8O3,NR,AtD substrate,NR,heterologous culture,NMR/LC-MS,S004,,119
M4-FUNG-0043:M005,M4-FUNG-0043,M005,terremutin,late intermediate,C7H8O4,NR,AtD product / AtC substrate,NR,atC mutant/heterologous,NMR/LC-MS,S003; S004,,120
M4-FUNG-0043:M006,M4-FUNG-0043,M006,ring-opened dicarboxylic-acid shunt,extra-cluster shunt,C7H8O4,NR,3-methylcatechol diversion,NR,native mutant culture,structural identification,S003; S011,Extra-cluster catechol cleavage.,121
M4-FUNG-0044:M001,M4-FUNG-0044,M001,terrein,experimentally established pathway product,C8H10O3,PubChem CID 6436830,final ecological/secondary-metabolic product,phytotoxic; moderate antifungal; ferric-reducing; multiple pharmacological activities,culture broth + fruit extracts,exact structure,S003; S004; S012,Conflicts with MIBiG current isoterrein label.,118
M4-FUNG-0044:M002,M4-FUNG-0044,M002,isoterrein,MIBiG current product label,C8H10O3,MIBiG/NPAtlas,stereoisomeric natural product,compound-level activities not used here to infer pathway function,MIBiG database annotation,database structure,S001; S013,Distinct from terrein; no direct evidence found that BGC0000161 specifically produces isoterrein instead of terrein.,119
M4-FUNG-0044:M003,M4-FUNG-0044,M003,4-hydroxy-6-methylpyrone,short-chain TerA product,NR,NR,alternative TerA extension-cycle product,pathway shunt/side product,heterologous TerA system,structurally characterized,S003; S006,Reflects low TerA extension-cycle specificity.,120
M4-FUNG-0044:M004,M4-FUNG-0044,M004,orsellinic acid,alternative TerA product,C8H8O4,NR,alternative TerA extension-cycle product,pathway shunt/side product,heterologous TerA system,structurally characterized,S003; S006,,121
M4-FUNG-0044:M005,M4-FUNG-0044,M005,"2,3-dehydro-6-hydroxymellein",TerA product before TerB reduction,NR,NR,direct TerB substrate,pathway intermediate,heterologous/in-vitro system,direct biochemical assignment,S006,,122
M4-FUNG-0044:M006,M4-FUNG-0044,M006,6-hydroxymellein,TerA/TerB collaborative product,NR,NR,key C10 precursor to terrein,pathway intermediate / branch point for related fungal metabolites,heterologous/in-vitro system,direct biochemical assignment,S006,,123
M4-FUNG-0044:M007,M4-FUNG-0044,M007,TerC oxidative-decarboxylation product,early ring-contraction intermediate,NR,NR,TerD substrate,pathway intermediate,in-vitro/heterologous system,mechanistically assigned,S007,Highly reactive/early oxidative state.,124
M4-FUNG-0044:M008,M4-FUNG-0044,M008,2-((E)-prop-1-en-1-yl)maleic acid,propylene maleic acid (PMA),C7H8O4,NR,oxidation product of terrein during Fe3+ reduction,extracellular redox product,iron-reduction reaction mixture,NMR + HRMS,S004,Not a canonical biosynthetic product; forms during ecological redox chemistry.,125
M4-FUNG-0045:M001,M4-FUNG-0045,M001,viridicatumtoxin,final product,C30H31NO10,MIBiG,final meroterpenoid,antibacterial,culture extract,exact,S001; S003,,121
M4-FUNG-0045:M002,M4-FUNG-0045,M002,previridicatumtoxin,acyclic geranyl precursor,NR,NR,VrtK substrate,pathway intermediate,yeast feeding system,direct,S005,,122
M4-FUNG-0045:M003,M4-FUNG-0045,M003,geranylated naphthacenedione,VrtC product,NR,NR,prenylated intermediate,pathway intermediate,in vitro,direct enzymatic product,S004,,123
M4-FUNG-0046:M001,M4-FUNG-0046,M001,yanuthone D,final product,C28H38O8,MIBiG,canonical final product,antimicrobial,culture extract,exact,S001; S003,,117
M4-FUNG-0046:M002,M4-FUNG-0046,M002,6-methylsalicylic acid,YanA product,C8H8O3,NR,pathway starter,intermediate,feeding/rescue,direct,S003,,118
M4-FUNG-0046:M003,M4-FUNG-0046,M003,m-cresol,YanB product,C7H8O,NR,YanC substrate,intermediate,feeding/rescue,direct,S003,,119
M4-FUNG-0046:M004,M4-FUNG-0046,M004,yanuthone E,late precursor,NR,NR,YanF substrate,intermediate,mutant extract,assigned,S003,,120
M4-FUNG-0046:M005,M4-FUNG-0046,M005,yanuthone X1,alternate scaffold class,NR,NR,cluster-enzyme-dependent but non-6-MSA-derived product,branch product,culture extract,exact/assigned,S003,,121
