experiment_link_id,experiment_key,relation_type,term_id,raw_value,source_ids,source_row
XLINK_5dadbcee2c20,M4-FUNG-0015:E004,state.culture_architecture,TERM_52839970e2ea,direct core-PKS activation,S004,129
XLINK_60c628b2c086,M4-FUNG-0015:E004,state.medium,TERM_5502fd79e7af,PKS-overexpression screening on multiple media,S004,129
XLINK_46bf5232b98f,M4-FUNG-0015:E004,action.intervention,TERM_08ed91bc4b3b,ectopic/direct PKS overexpression,S004,129
XLINK_6a74682a6eef,M4-FUNG-0015:E004,state.developmental_state,TERM_2c4d1f4b2ed7,engineered growth,S004,129
XLINK_5d9ea6eb80ce,M4-FUNG-0015:E004,time.window,TERM_ad2a080d140f,screen endpoint,S004,129
XLINK_4783e1f7adb4,M4-FUNG-0015:E004,observation.sample_matrix,TERM_d5b3d920314a,culture extract,S004,129
XLINK_12b6ef59504e,M4-FUNG-0015:E004,assay.method,TERM_40649f419d4f,HPLC/MS,S004,129
XLINK_1f42de58358b,M4-FUNG-0015:E005,state.culture_architecture,TERM_9b783a66c937,pathway-inactivation analogue discovery,S006,130
XLINK_f0cc8e4273ea,M4-FUNG-0015:E005,state.medium,TERM_6e0c3e47eab4,dereplicated A. nidulans background,S006,130
XLINK_22dac8305b6d,M4-FUNG-0015:E005,action.intervention,TERM_bc2d903d036d,delete cicF/pkbA from an eight-major-BGC deletion chassis,S006,130
XLINK_a1befeef07e1,M4-FUNG-0015:E005,state.developmental_state,TERM_2c4d1f4b2ed7,engineered growth,S006,130
XLINK_8eb937ccf12d,M4-FUNG-0015:E005,time.window,TERM_ec418730669c,endpoint,S006,130
XLINK_115d7996cc4e,M4-FUNG-0015:E005,observation.sample_matrix,TERM_480923b71411,EtOAc extracts,S006,130
XLINK_a26ec1828643,M4-FUNG-0015:E005,assay.method,TERM_c77bd9d0e3e0,HPLC-UV + purification + NMR/HRESIMS,S006,130
XLINK_fccc6b41aafd,M4-FUNG-0015:E006,state.culture_architecture,TERM_9fbba7f84abc,cross-BGC combinatorial biosynthesis,S005,131
XLINK_bc4ff65c8356,M4-FUNG-0015:E006,state.medium,TERM_c80ff11477e5,genetic-dereplication strains,S005,131
XLINK_c175b30af2a9,M4-FUNG-0015:E006,action.intervention,TERM_db1a49d2ecb4,multi-cluster dereplication / aspercryptin-pathway analysis,S005,131
XLINK_38424188e4eb,M4-FUNG-0015:E006,state.developmental_state,TERM_2c4d1f4b2ed7,engineered growth,S005,131
XLINK_df9af6881bf4,M4-FUNG-0015:E006,time.window,TERM_ec418730669c,endpoint,S005,131
XLINK_36c93e553074,M4-FUNG-0015:E006,observation.sample_matrix,TERM_642d0786204b,culture metabolites,S005,131
XLINK_df49aeba28bb,M4-FUNG-0015:E006,assay.method,TERM_83a9ea64fc81,genetics + metabolite structure analysis,S005,131
XLINK_ed3dd8f33e3c,M4-FUNG-0015:E007,state.culture_architecture,TERM_e33c5a02ba43,pathway-specific TF overexpression,S007,132
XLINK_fd6502f4f935,M4-FUNG-0015:E007,state.medium,TERM_0233c62be000,large-scale fermentation,S007,132
XLINK_236e77958a3c,M4-FUNG-0015:E007,action.intervention,TERM_2ca7b52bd664,cicD overexpression,S007,132
XLINK_e6a582851807,M4-FUNG-0015:E007,state.developmental_state,TERM_8f2934bbcc38,engineered productive state,S007,132
XLINK_3fc55fdb6e2c,M4-FUNG-0015:E007,time.window,TERM_3de928b6dcdd,scale-up endpoint,S007,132
XLINK_de7a52c88179,M4-FUNG-0015:E007,observation.sample_matrix,TERM_34f246d85db8,fermentation extract,S007,132
XLINK_824c1efb4961,M4-FUNG-0015:E007,assay.method,TERM_99e5ac4fc1a4,chemical isolation + NMR + HRESIMS + ECD,S007,132
XLINK_67925a778dda,M4-FUNG-0016:E001,state.culture_architecture,TERM_9c413fabaa0e,cluster cloning/sequencing,S003,125
XLINK_fbea9baa0fb2,M4-FUNG-0016:E001,state.medium,TERM_3584d2d8c6a2,native fungal culture,S003,125
XLINK_457d107e06e8,M4-FUNG-0016:E001,action.intervention,TERM_af98346e7afc,clone/map ~40-kb mlc region,S003,125
XLINK_e3b777e34a84,M4-FUNG-0016:E001,state.developmental_state,TERM_21c72d68eb44,producer state,S003,125
XLINK_b68034c9aea6,M4-FUNG-0016:E001,time.window,TERM_ec418730669c,endpoint,S003,125
XLINK_8df744de7323,M4-FUNG-0016:E001,observation.sample_matrix,TERM_a93d0d30e4fa,DNA + compactin,S003,125
XLINK_7ef298387317,M4-FUNG-0016:E001,assay.method,TERM_817f1fa0fb08,sequencing + metabolite correlation,S003,125
XLINK_aad2eae1a987,M4-FUNG-0016:E002,state.culture_architecture,TERM_1afd2fcabbf4,native genetic engineering,S004,126
XLINK_c60348b8c537,M4-FUNG-0016:E002,state.medium,TERM_a38ab4c61217,production fermentation,S004,126
XLINK_90d0a33a1534,M4-FUNG-0016:E002,action.intervention,TERM_09706b2fa07c,introduce cosmid pML48 carrying mlcA–F plus mlcR,S004,126
XLINK_a19e048aa885,M4-FUNG-0016:E002,state.developmental_state,TERM_cfa30f3d92c9,high-copy production state,S004,126
XLINK_6708d4e57a13,M4-FUNG-0016:E002,time.window,TERM_ec418730669c,endpoint,S004,126
XLINK_1eb010cb6872,M4-FUNG-0016:E002,observation.sample_matrix,TERM_90862a06b8f1,compactin,S004,126
XLINK_f51060e39cca,M4-FUNG-0016:E002,assay.method,TERM_7fb924dcca0a,copy-number analysis + fermentation assay,S004,126
XLINK_937249275030,M4-FUNG-0016:E003,state.culture_architecture,TERM_2d6857aa29a6,native resistance assay,S004,127
XLINK_e5ce336f13da,M4-FUNG-0016:E003,state.medium,TERM_3f52bcbd541f,fungal growth assay,S004,127
XLINK_0d8e019422e8,M4-FUNG-0016:E003,action.intervention,TERM_98f8762eef5b,disrupt mlcD,S004,127
XLINK_28a1dea1e3bf,M4-FUNG-0016:E003,state.developmental_state,TERM_fbe9cc947231,self-resistance challenged state,S004,127
XLINK_942dbec8955a,M4-FUNG-0016:E003,time.window,TERM_ec418730669c,endpoint,S004,127
XLINK_6712f63f8b22,M4-FUNG-0016:E003,observation.sample_matrix,TERM_bb802b8b5fcb,growth under compactin,S004,127
XLINK_5eac4713db6f,M4-FUNG-0016:E003,assay.method,TERM_b3ef4a2016a5,growth/sensitivity assay,S004,127
XLINK_27ed8d583bd5,M4-FUNG-0016:E004,state.culture_architecture,TERM_335b2bff80de,native regulator manipulation,S005; S006,128
XLINK_600457f8a01a,M4-FUNG-0016:E004,state.medium,TERM_1c9960609825,fungal production culture,S005; S006,128
XLINK_259f0023e803,M4-FUNG-0016:E004,action.intervention,TERM_aee99d2e83bd,alter mlcR dosage/function,S005; S006,128
XLINK_e60de7ed6164,M4-FUNG-0016:E004,state.developmental_state,TERM_5fecd410ffd8,regulatory state,S005; S006,128
XLINK_be4697fc2469,M4-FUNG-0016:E004,time.window,TERM_ec418730669c,endpoint,S005; S006,128
XLINK_8b89322ff9c9,M4-FUNG-0016:E004,observation.sample_matrix,TERM_25872d562a41,mlc transcripts + compactin,S005; S006,128
XLINK_fcfb9f18909f,M4-FUNG-0016:E004,assay.method,TERM_24a4bc63e821,transcription + production assay,S005; S006,128
XLINK_3b8db0bf3345,M4-FUNG-0017:E001,state.culture_architecture,TERM_b7b677db60c7,natural-product isolation / producer identification,S005,124
XLINK_e9328b158b21,M4-FUNG-0017:E001,state.medium,TERM_1dd0b32e3306,rhizosphere-derived fungal culture,S005,124
XLINK_5056cb2d9f6f,M4-FUNG-0017:E001,action.intervention,TERM_4eb4566c1fef,none,S005,124
XLINK_7f54f428edfb,M4-FUNG-0017:E001,state.developmental_state,TERM_25da078940ab,native fungal growth,S005,124
XLINK_552336dbba08,M4-FUNG-0017:E001,time.window,TERM_ec418730669c,endpoint,S005,124
XLINK_bb2e3cd7dbfd,M4-FUNG-0017:E001,observation.sample_matrix,TERM_e0f2806407f9,fungal extract,S005,124
XLINK_82b624c58974,M4-FUNG-0017:E001,assay.method,TERM_5015c9d801b0,chromatographic isolation + structure analysis,S005,124
XLINK_cbf29ae238f5,M4-FUNG-0017:E002,state.culture_architecture,TERM_de7bf1b7a054,PCR/fosmid cluster cloning,S003,125
XLINK_64ee2abbb9ef,M4-FUNG-0017:E002,action.intervention,TERM_1e7b7a739aaf,degenerate-primer amplification of collaborating-PKS candidates followed by fosmid sequencing,S003,125
XLINK_531139c8ddab,M4-FUNG-0017:E002,time.window,TERM_05ea1dce8951,sequence study,S003,125
XLINK_39b7c2c85f90,M4-FUNG-0017:E002,observation.sample_matrix,TERM_af578adf3340,genomic DNA,S003,125
XLINK_5a8fc51f1ae4,M4-FUNG-0017:E002,assay.method,TERM_e46a03f84e4e,PCR + fosmid sequencing + annotation,S003,125
XLINK_341e36099f99,M4-FUNG-0017:E003,state.culture_architecture,TERM_e9c5b8a12d78,heterologous pathway reconstruction,S003,126
XLINK_9004aa3947cd,M4-FUNG-0017:E003,state.medium,TERM_2d93117087ca,"SC medium to OD600 0.6, then equal volume YP",S003,126
XLINK_1bd6e8d1b18b,M4-FUNG-0017:E003,state.temperature_C,TERM_c6e78cf3c85d,30,S003,126
XLINK_3b6aedf29748,M4-FUNG-0017:E003,state.agitation,TERM_0eec930dc4e8,250,S003,126
XLINK_12115ca84ea9,M4-FUNG-0017:E003,action.intervention,TERM_5553ccf5a32a,dual PKS expression under ADH2 promoter,S003,126
XLINK_ece48ede24e0,M4-FUNG-0017:E003,state.developmental_state,TERM_f3f66cf93bbd,heterologous production state,S003,126
XLINK_80a56ebe6cbe,M4-FUNG-0017:E003,time.window,TERM_2037801bea90,2 additional days after YP addition,S003,126
XLINK_e62814b39dc9,M4-FUNG-0017:E003,observation.sample_matrix,TERM_3d11c1335535,culture,S003,126
XLINK_3fa2405b413a,M4-FUNG-0017:E003,assay.method,TERM_b04e39a83125,EtOAc extraction + HPLC + NMR,S003,126
XLINK_5e62b4fd90e8,M4-FUNG-0017:E004,state.culture_architecture,TERM_5891c30560fa,advanced-starter feeding experiment,S003,127
XLINK_f276c872fb6b,M4-FUNG-0017:E004,state.medium,TERM_a1d04eac2b0c,SC/yeast heterologous system,S003,127
XLINK_a7cd364b2485,M4-FUNG-0017:E004,state.temperature_C,TERM_c6e78cf3c85d,30,S003,127
XLINK_e45b05387794,M4-FUNG-0017:E004,state.agitation,TERM_0eec930dc4e8,250,S003,127
XLINK_14f4bece2bbd,M4-FUNG-0017:E004,action.intervention,TERM_54016e812802,feed tetraketide N-acetylcysteamine starter analogues,S003,127
XLINK_3e6b9dca3f56,M4-FUNG-0017:E004,state.developmental_state,TERM_f3f66cf93bbd,heterologous production state,S003,127
XLINK_fa9bca2fc66e,M4-FUNG-0017:E004,time.window,TERM_80bb6ec1c116,study endpoint,S003,127
XLINK_0439e2ee8526,M4-FUNG-0017:E004,observation.sample_matrix,TERM_3d11c1335535,culture,S003,127
XLINK_799beebd58e7,M4-FUNG-0017:E004,assay.method,TERM_799404176995,EtOAc extraction + HPLC/HRMS/MS,S003,127
XLINK_5d1326c557a4,M4-FUNG-0017:E005,state.culture_architecture,TERM_b752aa094c80,heterologous negative control,S003,128
XLINK_a3eedf4a7ea3,M4-FUNG-0017:E005,state.medium,TERM_5d68c7443516,same yeast culture regime,S003,128
XLINK_d32e3f960035,M4-FUNG-0017:E005,state.temperature_C,TERM_c6e78cf3c85d,30,S003,128
XLINK_786d67d71ece,M4-FUNG-0017:E005,state.agitation,TERM_0eec930dc4e8,250,S003,128
XLINK_c9a3e50fae8f,M4-FUNG-0017:E005,action.intervention,TERM_b98516058a49,blank expression vectors,S003,128
XLINK_dfc9c5553036,M4-FUNG-0017:E005,state.developmental_state,TERM_a9a99df6da55,heterologous control state,S003,128
XLINK_0bc5e4afa548,M4-FUNG-0017:E005,time.window,TERM_bc1cae605d01,same endpoint,S003,128
XLINK_ab42fe2a5de8,M4-FUNG-0017:E005,observation.sample_matrix,TERM_d5b3d920314a,culture extract,S003,128
XLINK_4df01d61f6b2,M4-FUNG-0017:E005,assay.method,TERM_b83bfa362ee8,HPLC,S003,128
XLINK_bbea7481c59c,M4-FUNG-0017:E006,state.culture_architecture,TERM_ff576004e57e,comparative genomics,Important strain specificity: species-level genome presence cannot substitute for source-strain evidence.,129
XLINK_41116ecff06f,M4-FUNG-0017:E006,action.intervention,TERM_bcd9c7db5a83,synteny/orthology analysis,Important strain specificity: species-level genome presence cannot substitute for source-strain evidence.,129
XLINK_4bb185397000,M4-FUNG-0017:E006,time.window,TERM_66f49edbda9b,genome sequence,Important strain specificity: species-level genome presence cannot substitute for source-strain evidence.,129
XLINK_d6ae8f15ee20,M4-FUNG-0017:E006,observation.sample_matrix,TERM_fb5a981cafdd,genome comparison,Important strain specificity: species-level genome presence cannot substitute for source-strain evidence.,129
XLINK_04abef62dbd9,M4-FUNG-0017:E006,assay.method,TERM_5298803bd705,The exact producer PKS pair is absent from NIH2624; A. flavus NRRL3357 has a related but disrupted/truncated derelict locus,Important strain specificity: species-level genome presence cannot substitute for source-strain evidence.,129
XLINK_2d6080c1f9bc,M4-FUNG-0018:E001,state.culture_architecture,TERM_90d5e58123e2,targeted gene-disruption pathway localization,S003,124
XLINK_9cef62976e28,M4-FUNG-0018:E001,state.medium,TERM_b2eb1ac13f56,laboratory fungal culture,S003,124
XLINK_b1b9db116093,M4-FUNG-0018:E001,action.intervention,TERM_a54f716384a2,DEP2 disruption,S003,124
XLINK_06179a8576ff,M4-FUNG-0018:E001,state.developmental_state,TERM_2b9d7ba3d693,native vegetative production state,S003,124
XLINK_4657746a24f3,M4-FUNG-0018:E001,time.window,TERM_ec418730669c,endpoint,S003,124
XLINK_ee7f619359a0,M4-FUNG-0018:E001,observation.sample_matrix,TERM_d5b3d920314a,culture extract,S003,124
XLINK_f6f0cea6a249,M4-FUNG-0018:E001,assay.method,TERM_c8a8686e1bd3,targeted genetics + chemical analysis,S003,124
XLINK_c3657cde8204,M4-FUNG-0018:E002,state.culture_architecture,TERM_90d5e58123e2,targeted gene-disruption pathway localization,S003,125
XLINK_24bea40d84cc,M4-FUNG-0018:E002,state.medium,TERM_b2eb1ac13f56,laboratory fungal culture,S003,125
XLINK_aed2bffc014f,M4-FUNG-0018:E002,action.intervention,TERM_c867e63d136b,DEP4 disruption,S003,125
XLINK_db2e4cde6077,M4-FUNG-0018:E002,state.developmental_state,TERM_2b9d7ba3d693,native vegetative production state,S003,125
XLINK_b4915b0a768f,M4-FUNG-0018:E002,time.window,TERM_ec418730669c,endpoint,S003,125
XLINK_bbc03ddd0105,M4-FUNG-0018:E002,observation.sample_matrix,TERM_d5b3d920314a,culture extract,S003,125
XLINK_881ba6cd5706,M4-FUNG-0018:E002,assay.method,TERM_c8a8686e1bd3,targeted genetics + chemical analysis,S003,125
XLINK_2c6e5e94b1b2,M4-FUNG-0018:E003,state.culture_architecture,TERM_19fb026faa7d,core-PKS knockout,S003; S006,126
XLINK_336b4f126c3d,M4-FUNG-0018:E003,state.medium,TERM_b2eb1ac13f56,laboratory fungal culture,S003; S006,126
XLINK_ff9c19512e41,M4-FUNG-0018:E003,action.intervention,TERM_7955b7802f83,DEP5/AbPKS9 disruption,S003; S006,126
XLINK_4077873af04a,M4-FUNG-0018:E003,state.developmental_state,TERM_2b9d7ba3d693,native vegetative production state,S003; S006,126
XLINK_fdbf2ffe6ed9,M4-FUNG-0018:E003,time.window,TERM_ec418730669c,endpoint,S003; S006,126
XLINK_7c3c01b9846e,M4-FUNG-0018:E003,observation.sample_matrix,TERM_d5b3d920314a,culture extract,S003; S006,126
XLINK_6d6bdb261aa8,M4-FUNG-0018:E003,assay.method,TERM_ab49b5ccc38f,targeted genetics + metabolite analysis,S003; S006,126
XLINK_6ccb64c32b84,M4-FUNG-0018:E004,state.culture_architecture,TERM_d7764e0f4a6e,pathway-regulator knockout,S003,127
XLINK_81a2faf3c520,M4-FUNG-0018:E004,state.medium,TERM_b2eb1ac13f56,laboratory fungal culture,S003,127
XLINK_70d3e2e2edc4,M4-FUNG-0018:E004,action.intervention,TERM_6be2fb58ad22,DEP6 disruption,S003,127
XLINK_293b64b8a505,M4-FUNG-0018:E004,state.developmental_state,TERM_2b9d7ba3d693,native vegetative production state,S003,127
XLINK_1192c09ad247,M4-FUNG-0018:E004,time.window,TERM_ec418730669c,endpoint,S003,127
XLINK_61d0be7b009b,M4-FUNG-0018:E004,observation.sample_matrix,TERM_14cf4bfca320,RNA + culture extract,S003,127
XLINK_b12d8b363bbf,M4-FUNG-0018:E004,assay.method,TERM_23f23dd12fa7,gene-expression analysis + metabolite analysis,S003,127
XLINK_de1ef581bd3b,M4-FUNG-0018:E005,state.culture_architecture,TERM_35328ba4fc62,plant virulence assay,S003,128
XLINK_7cde711622ff,M4-FUNG-0018:E005,state.medium,TERM_3f26d084296e,Brassica oleracea leaf infection,S003,128
XLINK_3a4a08e49f04,M4-FUNG-0018:E005,state.temperature_C,TERM_f7b5f9f1b131,plant,S003,128
XLINK_5546f3d18e30,M4-FUNG-0018:E005,action.intervention,TERM_15a958b85f41,DEP-pathway loss,S003,128
XLINK_a10ee8fba1c7,M4-FUNG-0018:E005,state.developmental_state,TERM_debd18dcf1e3,host infection,S003,128
XLINK_f9ece8868e29,M4-FUNG-0018:E005,time.window,TERM_7ebdff9f5847,lesion endpoint,S003,128
XLINK_29819de88068,M4-FUNG-0018:E005,observation.sample_matrix,TERM_4f189cc77686,infected leaf tissue,S003,128
XLINK_fb21bd4ddb84,M4-FUNG-0018:E005,assay.method,TERM_175c09f9bd41,lesion-size virulence assay,S003,128
XLINK_8429f4d61104,M4-FUNG-0018:E006,state.culture_architecture,TERM_35328ba4fc62,plant virulence assay,S003,129
XLINK_93b42c29a80c,M4-FUNG-0018:E006,state.medium,TERM_69f19fb315fd,Arabidopsis infection,S003,129
XLINK_a7ff18fcf388,M4-FUNG-0018:E006,state.temperature_C,TERM_f7b5f9f1b131,plant,S003,129
XLINK_373ec27124ce,M4-FUNG-0018:E006,action.intervention,TERM_15a958b85f41,DEP-pathway loss,S003,129
XLINK_49f073f63942,M4-FUNG-0018:E006,state.developmental_state,TERM_debd18dcf1e3,host infection,S003,129
XLINK_2a6f9c06a740,M4-FUNG-0018:E006,time.window,TERM_7ebdff9f5847,lesion endpoint,S003,129
XLINK_29c037013421,M4-FUNG-0018:E006,observation.sample_matrix,TERM_4f189cc77686,infected leaf tissue,S003,129
XLINK_d9eed058198d,M4-FUNG-0018:E006,assay.method,TERM_faf6d9c18911,disease assay,S003,129
XLINK_0bd86f582ae2,M4-FUNG-0018:E007,state.culture_architecture,TERM_bd8ac6604da0,environmental production screen,S005,130
XLINK_e8adffe86277,M4-FUNG-0018:E007,state.medium,TERM_d248f058f352,potato dextrose broth and minimal-media variants,S005,130
XLINK_bbdb8484ead3,M4-FUNG-0018:E007,state.temperature_C,TERM_4306cec3949f,23 / 30,S005,130
XLINK_35a2e4b47b39,M4-FUNG-0018:E007,action.intervention,TERM_2473a81ec1d1,temperature × nitrate/ammonium × medium composition,S005,130
XLINK_ebe7b5e96681,M4-FUNG-0018:E007,state.developmental_state,TERM_ed4b4a079f0e,vegetative liquid culture,S005,130
XLINK_c0d75290247a,M4-FUNG-0018:E007,time.window,TERM_80bb6ec1c116,study endpoint,S005,130
XLINK_892f4bf4a237,M4-FUNG-0018:E007,observation.sample_matrix,TERM_642d0786204b,culture metabolites,S005,130
XLINK_95c50a48b31f,M4-FUNG-0018:E007,assay.method,TERM_27eaeb6176f8,chromatographic metabolite profiling,S005,130
XLINK_364b56323b09,M4-FUNG-0018:E008,state.culture_architecture,TERM_b8fcc4db0960,chemical perturbation negative control,S005,131
XLINK_5be74f06612f,M4-FUNG-0018:E008,state.medium,TERM_f7ae7eda1f0d,liquid culture,S005,131
XLINK_dc081213fab5,M4-FUNG-0018:E008,action.intervention,TERM_5958688c7fcf,"5-azacitidine, SAHA, SBHA",S005,131
XLINK_93be1313f677,M4-FUNG-0018:E008,state.developmental_state,TERM_b816a21fe850,vegetative culture,S005,131
XLINK_cbb763a83dfa,M4-FUNG-0018:E008,time.window,TERM_ec418730669c,endpoint,S005,131
XLINK_0dd567383dbc,M4-FUNG-0018:E008,observation.sample_matrix,TERM_cb652979966a,culture metabolite profile,S005,131
XLINK_2486ed40dcc5,M4-FUNG-0018:E008,assay.method,TERM_bb2d606e14dd,metabolite profiling,S005,131
XLINK_63828401adbf,M4-FUNG-0018:E009,state.culture_architecture,TERM_b61f5b133670,cross-species functionality comparator,S006,132
XLINK_da3abf218ca6,M4-FUNG-0018:E009,state.medium,TERM_3f358a445329,oat grain vs oat flower media,S006,132
XLINK_196303652158,M4-FUNG-0018:E009,action.intervention,TERM_f63165c3d18a,medium context,S006,132
XLINK_fa07d6289715,M4-FUNG-0018:E009,state.developmental_state,TERM_f75aecc16fdf,vegetative fungal growth,S006,132
XLINK_3c33a21ddec6,M4-FUNG-0018:E009,time.window,TERM_ec418730669c,endpoint,S006,132
XLINK_d0c9ad578ee0,M4-FUNG-0018:E009,observation.sample_matrix,TERM_4aaacca70c56,RNA + culture metabolite,S006,132
XLINK_edde28fa5771,M4-FUNG-0018:E009,assay.method,TERM_9cae595e08d7,gene expression + chemical detection,S006,132
XLINK_0f81a1a26ed3,M4-FUNG-0019:E001,state.culture_architecture,TERM_36b4c8db9149,core-PKS knockout + precursor rescue,S002,151
XLINK_8cbe4433ebdb,M4-FUNG-0019:E001,state.medium,TERM_7060d5736570,fungal culture,S002,151
XLINK_84f060d775bf,M4-FUNG-0019:E001,action.intervention,TERM_3e19317be8e4,pksA targeted inactivation; feed aflatoxin precursors,S002,151
XLINK_7d75bf5743cf,M4-FUNG-0019:E001,state.developmental_state,TERM_838741870ddf,vegetative growth,S002,151
XLINK_97d80c15ac57,M4-FUNG-0019:E001,time.window,TERM_ec418730669c,endpoint,S002,151
XLINK_0d395719dd07,M4-FUNG-0019:E001,observation.sample_matrix,TERM_d5b3d920314a,culture extract,S002,151
XLINK_8183005be04f,M4-FUNG-0019:E001,assay.method,TERM_aedeb390fdbf,targeted genetics + toxin analysis + precursor conversion,S002,151
XLINK_ba7629338f8a,M4-FUNG-0019:E002,state.culture_architecture,TERM_6873b58bab4b,ketoreductase knockout / intermediate trapping,S003,152
XLINK_98c6a57fdcc5,M4-FUNG-0019:E002,state.medium,TERM_7060d5736570,fungal culture,S003,152
XLINK_1bbbf0b980a9,M4-FUNG-0019:E002,action.intervention,TERM_959a440fc44c,dotA targeted replacement,S003,152
XLINK_f7449ad2cb84,M4-FUNG-0019:E002,state.developmental_state,TERM_838741870ddf,vegetative growth,S003,152
XLINK_5225ac99b895,M4-FUNG-0019:E002,time.window,TERM_ec418730669c,endpoint,S003,152
XLINK_d6f8eb0ff7f4,M4-FUNG-0019:E002,observation.sample_matrix,TERM_d5b3d920314a,culture extract,S003,152
XLINK_8c4467c06d06,M4-FUNG-0019:E002,assay.method,TERM_ab49b5ccc38f,targeted genetics + metabolite analysis,S003,152
XLINK_07b1f3735f15,M4-FUNG-0019:E003,state.culture_architecture,TERM_bdfe9ada0d04,native temporal-expression experiment,S005,153
XLINK_9a0a73d4926d,M4-FUNG-0019:E003,state.medium,TERM_0da43b07a08e,DB and related media,S005,153
XLINK_3328f236b2e6,M4-FUNG-0019:E003,action.intervention,TERM_f2eecc6f3671,time-resolved culture,S005,153
XLINK_53635df69098,M4-FUNG-0019:E003,state.developmental_state,TERM_980f1731b2fd,young/exponential mycelium,S005,153
XLINK_189efe570c5a,M4-FUNG-0019:E003,time.window,TERM_4a22158feba7,days 2–10; key window days 4–6,S005,153
XLINK_aaf642cc60e0,M4-FUNG-0019:E003,observation.sample_matrix,TERM_e4ac3f1ecd45,RNA + dry weight + culture toxin + GFP reporter,S005,153
XLINK_6879177e5a1c,M4-FUNG-0019:E003,assay.method,TERM_8cdab2221e20,transcript analysis + toxin quantification + promoter-GFP,S005,153
XLINK_54827cb8b1fc,M4-FUNG-0019:E004,state.culture_architecture,TERM_6a37640dd148,whole-genome pathway mapping,S006,154
XLINK_5eeb474bc70e,M4-FUNG-0019:E004,action.intervention,TERM_2cee6b739931,map AF-like homologs and mini-clusters,S006,154
XLINK_1e6f0d92fc92,M4-FUNG-0019:E004,time.window,TERM_6ba1ddda337d,reference-genome / in-planta-vs-culture expression comparison,S006,154
XLINK_3763cf6daca3,M4-FUNG-0019:E004,observation.sample_matrix,TERM_b2da66d6b45b,genome + RNA,S006,154
XLINK_811ab0389557,M4-FUNG-0019:E004,assay.method,TERM_e8a8562843e3,comparative genomics + RNA-seq,S006,154
XLINK_48259a5f6bd9,M4-FUNG-0019:E005,state.culture_architecture,TERM_d7764e0f4a6e,pathway-regulator knockout,S007,155
XLINK_44a92609cef8,M4-FUNG-0019:E005,state.medium,TERM_7060d5736570,fungal culture,S007,155
XLINK_049034bb1939,M4-FUNG-0019:E005,action.intervention,TERM_0c265c25772b,DsAflR deletion,S007,155
XLINK_28beb9bb4718,M4-FUNG-0019:E005,state.developmental_state,TERM_838741870ddf,vegetative growth,S007,155
XLINK_a178a0d8e3cf,M4-FUNG-0019:E005,time.window,TERM_ec418730669c,endpoint,S007,155
XLINK_68d5738a8587,M4-FUNG-0019:E005,observation.sample_matrix,TERM_31b6e8e30861,RNA + toxin,S007,155
XLINK_f81722608c29,M4-FUNG-0019:E005,assay.method,TERM_144d33450aa2,transcript profiling + metabolite assay,S007,155
XLINK_32cd28224c34,M4-FUNG-0019:E006,state.culture_architecture,TERM_07a88758d12a,global-regulator perturbation,S009,156
XLINK_c707194366e6,M4-FUNG-0019:E006,state.medium,TERM_7060d5736570,fungal culture,S009,156
XLINK_bc8977b3f644,M4-FUNG-0019:E006,action.intervention,TERM_3707a343c0ca,DsLaeA deletion,S009,156
XLINK_6739d5c52b69,M4-FUNG-0019:E006,state.developmental_state,TERM_d1be2368f723,vegetative/developmental growth,S009,156
XLINK_ced0b5fd99f2,M4-FUNG-0019:E006,time.window,TERM_ec418730669c,endpoint,S009,156
XLINK_47e685d7bfed,M4-FUNG-0019:E006,observation.sample_matrix,TERM_bb92e602bc05,RNA + toxin + morphology,S009,156
XLINK_8497a40d0b1d,M4-FUNG-0019:E006,assay.method,TERM_85fc3401575d,expression/metabolite/developmental assays,S009,156
XLINK_efcb5c90b6ce,M4-FUNG-0019:E007,state.culture_architecture,TERM_32c359e877d9,chromatin-state perturbation,S010,157
XLINK_48b35703dcf5,M4-FUNG-0019:E007,state.medium,TERM_2c0fd6da1b51,early productive versus nonproductive culture states,S010,157
XLINK_73fd34105a53,M4-FUNG-0019:E007,action.intervention,TERM_833e68b7731b,histone-mark analysis and chromatin perturbation,S010,157
XLINK_7a4fb7700cae,M4-FUNG-0019:E007,state.developmental_state,TERM_40fd59cf0bd7,early exponential/productive state,S010,157
XLINK_382ad5660f30,M4-FUNG-0019:E007,time.window,TERM_db7340b1c960,state comparison,S010,157
XLINK_ce0e44817f6d,M4-FUNG-0019:E007,observation.sample_matrix,TERM_c391a7e4ad4e,chromatin + RNA + toxin,S010,157
XLINK_88d96c5b50b0,M4-FUNG-0019:E007,assay.method,TERM_668cd777b281,ChIP/qPCR + gene expression + metabolite analysis,S010,157
XLINK_ba834ff95d69,M4-FUNG-0019:E008,state.culture_architecture,TERM_9b933ae698d1,long-horizon plant virulence experiment,S008,158
XLINK_b3b51cd92ac2,M4-FUNG-0019:E008,state.medium,TERM_6ff952162978,P. radiata seedlings,S008,158
XLINK_d54c0d2f2326,M4-FUNG-0019:E008,state.temperature_C,TERM_f7b5f9f1b131,plant,S008,158
XLINK_48296e2ce3f4,M4-FUNG-0019:E008,action.intervention,TERM_54c1fd173416,dothistromin-pathway loss,S008,158
XLINK_e80c38719781,M4-FUNG-0019:E008,state.developmental_state,TERM_d550fc7ea61d,infection cycle,S008,158
