conflict_key,dossier_id,conflict_id,issue_type_raw,description_raw,evidence_A_raw,evidence_B_raw,interpretation_raw,status_raw,source_ids,source_row
M4-FUNG-0032:U005,M4-FUNG-0032,U005,methylation_order,"MpaG can methylate multiple intermediates, so a single rigid pathway order is not obligatory.",historical terminal-methylation model,multi-substrate structural biochemistry,Represent multiple permissible orders and avoid one deterministic arrow chain.,resolved-for-atlas,S008,187
M4-FUNG-0032:U006,M4-FUNG-0032,U006,MpaF_dual_role,"MpaF is clearly a self-resistance IMPDH; comparative P. roqueforti silencing suggests broader production effects, but it has no direct biosynthetic chemical reaction.",resistance biochemistry,comparative production phenotype,Classify primarily as self-protection; do not call it a biosynthetic enzyme.,open,S005; S009,188
M4-FUNG-0032:U007,M4-FUNG-0032,U007,native_activation,"Native source-strain production conditions are known, but the upstream environmental/regulatory switch controlling mpa transcription is not deeply resolved.",robust YES/CYA production,limited direct regulator/trigger data,Keep activation trigger NR rather than inventing nutrient control.,open,S003,189
M4-FUNG-0033:U001,M4-FUNG-0033,U001,database_boundary,MIBiG contains only wA although the biological endpoint requires dispersed downstream genes.,single-CDS MIBiG record,yA/fwA/chaA genetics,Retain wA as BGC core and encode mature-pigment pathway as distributed functional programme.,resolved-for-atlas,S001; S008,174
M4-FUNG-0033:U002,M4-FUNG-0033,U002,product_identity,MIBiG calls the product generically 'naphthopyrone'; full-length WA experiments specifically identify YWA1.,database generic product,1999 structural identification,Use YWA1 as refined primary product while preserving MIBiG wording.,resolved-for-atlas,S001; S004,175
M4-FUNG-0033:U003,M4-FUNG-0033,U003,historical_WA_product,"Earlier experiments with a C-terminally truncated WA assigned citreoisocoumarin-like products, later shown not to be the full-length enzyme's native product.",truncated-WA products,full-length WA → YWA1,Treat YWA1 as native WA product and historical isocoumarins as truncation artifacts.,resolved-for-atlas,S004,176
M4-FUNG-0033:U004,M4-FUNG-0033,U004,final_pigment_structure,The mature green pigment is genetically well defined but not fully structurally characterized.,clear color genetics/laccase phenotype,incomplete chemical structure,Do not assign an exact formula or single-molecule identity to final pigment.,open,S008,177
M4-FUNG-0033:U005,M4-FUNG-0033,U005,FwA_chemistry,"FwA is genetically identified as an EthD-domain protein and positioned by epistasis, but its direct substrate/product is unknown.",clean deletion + repair + epistasis,no purified-enzyme/metabolite assignment,"Score pathway role high, exact chemistry unresolved.",open,S008,178
M4-FUNG-0033:U006,M4-FUNG-0033,U006,ChaA_chemistry,"ChaA is a cytochrome P450 required for green color and placed downstream of FwA, but the catalytic reaction is unknown.",clean deletion/complementation + epistasis,no substrate-level chemistry,Retain inferred branch position without inventing oxidation chemistry.,open,S008,179
M4-FUNG-0033:U007,M4-FUNG-0033,U007,additional_color_loci,Classical A. nidulans genetics includes additional color loci such as bwA/dilA/dilB; their roles in the molecular YWA1 pathway remain less resolved.,historical color mutants,limited modern chemical assignment,Do not treat wA/yA/fwA/chaA as necessarily exhaustive for pigment quality.,open,S010,180
M4-FUNG-0033:U008,M4-FUNG-0033,U008,activation_vs_development,"The pathway is active during conidiation, but developmental induction integrates morphology, transcription and wall assembly; it is not reducible to a single metabolite trigger.",laccase time course + developmental regulators,no isolated chemical trigger,Classify as developmental-state gating rather than OSMAC-like activation.,resolved-for-atlas,S005; S006,181
M4-FUNG-0034:U001,M4-FUNG-0034,U001,middle_pathway,Exact division of gentisyl-alcohol-to-isoepoxydon chemistry between PatO and PatJ remains incomplete.,systematic gene necessity/localization,incomplete purified-enzyme reaction map,Encode both as required in this segment without inventing a single precise reaction for each.,open,S006; S008,180
M4-FUNG-0034:U002,M4-FUNG-0034,U002,transport,"PatA/PatC/PatM are required cluster transporters, but direct substrate-specific transport assignments remain incomplete.",localization/deletion,no full transport kinetics,Keep transport/recovery roles distinct from proven substrate transport.,open,S006,181
M4-FUNG-0034:U003,M4-FUNG-0034,U003,virulence_role,Studies support cultivar-dependent aggressiveness rather than universal virulence necessity.,ΔpatL apple panel,continued infection by patulin-null strain,Do not label patulin an indispensable virulence factor.,resolved-for-atlas,S004,182
M4-FUNG-0034:U004,M4-FUNG-0034,U004,seed_ledger_gene_count,The seed ledger previously stored a lower gene-count field than the live complete MIBiG record.,seed metadata,current 15-gene MIBiG/primary sequence,Use seed ID from ledger but current evidence for scientific dossier.,resolved-for-atlas,S001; S003,183
M4-FUNG-0034:U005,M4-FUNG-0034,U005,virulence_context,"Patulin-null phenotypes differ across P. expansum strain/host assays: NRRL 35695 ΔpatL retains infection but shows cultivar-dependent reduction in aggressiveness, whereas T01 ΔPePatK/ΔPePatL mutants were reported without a virulence defect.",NRRL 35695 cultivar panel / patulin add-back,T01 PePatK/PePatL knockout pathogenicity assay,Treat patulin as a context-dependent aggressiveness factor rather than a universal virulence determinant.,resolved-by-context,S004; S007,184
M4-FUNG-0035:U001,M4-FUNG-0035,U001,product_synonymy,"MIBiG lists Pestheic Acid and RES-1214-2 separately, whereas PubChem/KNApSAcK/reviews treat pestheic acid, RES-1214-2 and dihydromaldoxin as the same compound.",MIBiG two-product display,external chemical entity sources,Normalize as one chemical entity while preserving database labels.,CONFLICTING,S001; S007; S013,183
M4-FUNG-0035:U002,M4-FUNG-0035,U002,methyltransferase_assignment,"PtaH and PtaI are both methyltransferases, but exact native division between aromatic O-methylation and carboxyl methylation is not fully resolved.",two cluster OMTs,pathway/homology proposals,Keep both as candidate methylation nodes rather than force one fixed reaction map.,open,S003; S005; S016,184
M4-FUNG-0035:U003,M4-FUNG-0035,U003,PtaK_function,PtaK resembles dihydrogeodin oxidases yet PtaE has the demonstrated oxidative-coupling role.,PtaK annotation,direct PtaE knockout chemistry,Do not duplicate the PtaE reaction; retain PtaK as unresolved paralog/support enzyme.,open,S001; S003,185
M4-FUNG-0035:U004,M4-FUNG-0035,U004,regulator_roles,"Three cluster-local regulators are annotated, but regulator-specific causal hierarchy is not well resolved.",ptaR1/R2/R3 cluster membership,expression correlation without full perturbation series,"Retain regulatory candidates with moderate-high confidence, not direct activation-law claims.",open,S002; S003,186
M4-FUNG-0035:U005,M4-FUNG-0035,U005,PtaJ_reaction,"PtaJ is annotated as Baeyer–Villiger oxidase/ring-cleaving enzyme and has strong homology to characterized ring-cleaving dioxygenases, but purified PtaJ substrate chemistry is not encoded in the defining source.",pathway homology,lack of direct purified-enzyme assay,"Score high, not very-high direct.",open,S001; S005; S019,187
M4-FUNG-0035:U006,M4-FUNG-0035,U006,biosynthetic_order,Primary/review evidence allows halogenation before or after oxidative diphenyl-ether coupling.,chloroisosulochrin route,RES-1214-1→pestheic-acid route,Encode a branched permissible-order network rather than one rigid linear sequence.,resolved-for-atlas,S006; S008,188
M4-FUNG-0035:U007,M4-FUNG-0035,U007,ecological_role,"W106-1 is a tea endophyte, but no experiment directly links pestheic acid to host colonization or endophytic fitness.",endophyte origin,compound pharmacology/plant-growth-regulator reports,Do not infer endophytic function from unrelated bioassays.,open,S004; S009; S010,189
M4-FUNG-0035:U008,M4-FUNG-0035,U008,family_taxonomy,Older Pestalotiopsis literature uses Amphisphaeriaceae/Pestalotiopsidaceae placements; current literature places Pestalotiopsis in Sporocadaceae.,historical classifications,current family revision,Use Sporocadaceae as current family and retain old family names as historical taxonomy only.,resolved-for-atlas,S011,190
M4-FUNG-0036:U001,M4-FUNG-0036,U001,source_strain,2010 genes came from F37 whereas BGC record is Af293.,Af293 locus,F37 heterologous genes,Separate provenance.,resolved-for-atlas,S001; S003,167
M4-FUNG-0036:U002,M4-FUNG-0036,U002,late_orthology,Pyr3/9/7/8 chemistry is homolog-derived.,Af293 homology,P. coprobium assays,Keep comparative labels.,open-provenance,S004; S005,168
M4-FUNG-0036:U003,M4-FUNG-0036,U003,export,Product is extracellular but no cluster transporter is known.,recovery,gene inventory,Exporter NF.,open,S001; S008,169
M4-FUNG-0036:U004,M4-FUNG-0036,U004,virulence,Host phenotype depends on model/state.,one mouse model,different host state,Do not generalize.,resolved-for-atlas,S008,170
M4-FUNG-0037:U001,M4-FUNG-0037,U001,Rdc4_source_provenance,"The P. chlamydosporia cluster P450 is predicted to mediate epoxidation, while strongest direct knockout proof comes from the C. chiversii ortholog.",source cluster homology,comparative direct genetics,Keep high but comparative attribution.,open-provenance,S003; S007,163
M4-FUNG-0037:U002,M4-FUNG-0037,U002,final_unsaturation,Exact formation of radicicol's final cis-unsaturation remains incompletely resolved.,known final structure,incomplete source-enzyme reaction map,Do not invent an extra enzyme absent from the five-gene cluster.,open,S009,164
M4-FUNG-0037:U003,M4-FUNG-0037,U003,transport,Rdc3 is an MFS transporter but direct substrate-specific transport has not been shown.,gene annotation,no direct assay,Keep predicted transport role only.,open,S001,165
M4-FUNG-0037:U004,M4-FUNG-0037,U004,ecological_role,Radicicol has strong Hsp90/antifungal pharmacology but no direct producer-fitness/ecological experiment establishes its native role.,bioactivity,no ecological causality,Do not infer biocontrol function solely from compound activity.,open,S003; S008,166
M4-FUNG-0038:U001,M4-FUNG-0038,U001,strain_provenance,"MIBiG/AB514562 does not display a source-strain tag, while later reconstitution explicitly uses A. solani ASP-2.",sequence record without strain,ASP-2 producer/reconstitution source,Use ASP-2 as the best linked producer lineage but mark exact sequence-to-strain identity as not independently resolved here.,UNCERTAIN,S001; S006,183
M4-FUNG-0038:U002,M4-FUNG-0038,U002,product_scope,MIBiG lists solanapyrone D only although the cluster produces a broader A/B/D/E family and heterologous C.,single database product,multi-congener biochemical/genetic literature,"Treat D as database primary product, not whole pathway output.",resolved-for-atlas,S001; S003; S006,184
M4-FUNG-0038:U003,M4-FUNG-0038,U003,Sol4_provenance,"Sol4 is annotated in A. solani, but necessary/sufficient regulator genetics were performed in A. rabiei.",A. solani homologous TF,A. rabiei direct deletion/OE,"Assign high-by-orthology regulator status, not direct A. solani causality.",open-provenance,S005,185
M4-FUNG-0038:U004,M4-FUNG-0038,U004,Sol3_assignment,"Sol3 is widely assigned to reduction of solanapyrones A/D to B/E, but some 2015 discussion still described its role as not fully clear.",curated pathway/UniProt assignment,historical tentative wording,Retain high confidence but below Sol1/2/5/6 directness.,open,S004; S007,186
M4-FUNG-0038:U005,M4-FUNG-0038,U005,Δsol5_shunt_origin,The Δsol5 mutant accumulates prosolanapyrone II-diol; this may reflect noncanonical oxidation/reduction by other fungal enzymes rather than a dedicated cluster step.,mutant metabolite,no cluster enzyme assigned,"Store as shunt/diagnostic accumulation product, not canonical pathway intermediate.",resolved-for-atlas,S004,187
M4-FUNG-0038:U006,M4-FUNG-0038,U006,heterologous_host_chemistry,A. oryzae produces terminal-olefin oxidation products and solanapyrone C that do not represent the intended native Sol1/2/6/5 reaction sequence.,heterologous observed products,native pathway chemistry,Separate host transformation from BGC catalytic output.,resolved-for-atlas,S006,188
M4-FUNG-0038:U007,M4-FUNG-0038,U007,pathogenicity_role,"Solanapyrone A is phytotoxic, but solanapyrone-null mutants are not detectably less virulent in tested A. solani pathosystems.",compound toxicity,native fungal knockout pathogenicity,Do not label solanapyrones as required virulence factors.,resolved-for-atlas,S004,189
M4-FUNG-0038:U008,M4-FUNG-0038,U008,native_ecological_role,"Pathogenicity is falsified as a necessary role, but an alternative ecological/developmental function has not been demonstrated directly in A. solani.",negative pathogenicity result,no direct alternative-role experiment,Keep native biological role unresolved.,open,S004,190
M4-FUNG-0039:U001,M4-FUNG-0039,U001,database_feature_gap,Current MIBiG lists 17 CDSs while the primary cluster paper defines 25 coregulated transcripts.,live database,primary cluster mapping,Treat U34740 boundary as valid but do not equate current feature rows with the full historical gene set.,CONFLICTING,S001; S003,192
M4-FUNG-0039:U002,M4-FUNG-0039,U002,missing_coordinates,"Eight historically named stc genes are absent from current MIBiG feature table, so their exact U34740 coordinates/protein accessions are not reproduced here without an independently verified sequence annotation.",historical gene names,current MIBiG omission,Keep coordinates/accessions NR rather than fabricate them.,open,S001; S003; S007,193
M4-FUNG-0039:U003,M4-FUNG-0039,U003,weakly_assigned_functions,Several stc genes retain homology-based or unresolved reaction assignments.,cluster coexpression,partial direct enzymology,Separate cluster membership from enzyme-level causality.,open,S003; S007,194
M4-FUNG-0039:U004,M4-FUNG-0039,U004,light_effect,Light does not have a universal positive or negative effect on ST.,different media/glucose states,opposite measured outcomes,Encode light jointly with nutrient state rather than as one simple trigger.,resolved-for-atlas,S009; S011,195
M4-FUNG-0039:U005,M4-FUNG-0039,U005,legacy_gene_models,"Some U34740 protein models, including stcA, have later sequence-model cautions.",legacy GenBank proteins,curated modern protein models,Use U34740 coordinates for record identity while flagging sequence-model risk.,open-provenance,S018,196
M4-FUNG-0040:U001,M4-FUNG-0040,U001,database_completeness,"MIBiG marks BGC0000154 complete, yet TropG/TSTA_117860 lies outside the displayed interval and participates in later-defined stipitatic-acid completion.",complete flag,later-pathway TropG assignment/coordinate,Treat database completeness as conflicting with the final functional-programme boundary.,CONFLICTING,S001; S004; S006,193
M4-FUNG-0040:U002,M4-FUNG-0040,U002,duplicate_gene_models,"TSTA_117730, TSTA_117760 and TSTA_117810 each appear with alternative duplicate CDS annotations in MIBiG.",multiple annotation rows,same genomic loci,Count each genomic locus once and retain alternative protein models as annotation history.,resolved-for-atlas,S001,194
M4-FUNG-0040:U003,M4-FUNG-0040,U003,TropK_regulation,"TSTA_117810 is annotated as TropK/tropolone-cluster transcription factor, but direct native perturbation evidence was not found in the curated core literature.",reviewed regulator annotation,no direct knockout/OE result found,Retain moderate regulatory confidence; do not invent a regulatory law.,open,S006,195
M4-FUNG-0040:U004,M4-FUNG-0040,U004,TropG_boundary,The later-pathway TropG locus is physically separated from the current MIBiG display by ~5.8 kb.,MIBiG displayed end,TSTA_117860 coordinate,Encode as extra-boundary functional gene rather than silently extending MIBiG coordinates.,resolved-for-atlas,S001; S006,196
M4-FUNG-0040:U005,M4-FUNG-0040,U005,TropC_radical_mechanism,The 2025 radical-ring-expansion mechanism is derived predominantly from closely related SpoC rather than direct T. stipitatus TropC structural work.,TropC-family conservation,SpoC-centered structural/mechanistic experiments,"Use as comparative refinement, not direct source-enzyme proof.",open-provenance,S007,197
M4-FUNG-0040:U006,M4-FUNG-0040,U006,late_reaction_order,"The late pathway is strongly resolved, but exact micro-order/equilibria of lactone opening and anhydride/dicarboxylate interconversion can be drawn differently.",knockout/in-vitro pathway,later schematic representations,Encode direct enzyme capabilities and reversible interconversion without forcing an overly rigid sequence.,open,S004; S008,198
M4-FUNG-0040:U007,M4-FUNG-0040,U007,native_activation,"The native producer makes stipitatic acid, but no specific environmental/ecological activation trigger is established.",productive culture,no targeted trigger experiment,Keep activation trigger NR.,open,S003; S004,199
M4-FUNG-0040:U008,M4-FUNG-0040,U008,ecological_role,"The species is environmental and can rarely cause human infection, but no data link stipitatic acid to pathogenicity or ecological fitness.",organism context,no pathway-function experiment,Do not assign virulence/ecological role.,resolved-for-atlas,S003; S010,200
M4-FUNG-0041:U001,M4-FUNG-0041,U001,contiguous_bgc_model,No single start/end represents Tox1.,genetic locus concept,two-chromosome physical topology,Leave sequence coordinates blank and encode distributed programme.,resolved-for-atlas,S009,171
M4-FUNG-0041:U002,M4-FUNG-0041,U002,enzyme_mechanism,Exact substrate-level functions of many accessory genes and PKS1/PKS2 division remain unresolved.,strong knockout necessity,incomplete biochemical reconstruction,Separate necessity from reaction assignment.,open,S006; S009,172
M4-FUNG-0041:U003,M4-FUNG-0041,U003,historical_gene_count,Nine genes were assayed in 2012; TOX10 was identified later.,2012 panel,2018/2023 10-gene state,Do not retroactively call 2012 a ten-gene experiment.,resolved-for-atlas,S007; S008; S009,173
M4-FUNG-0041:U004,M4-FUNG-0041,U004,retirement_reason,Official MIBiG retirement rationale is not exposed.,retired status,modern noncontiguous topology,Treat ontology explanation as interpretation.,open-provenance,S001; S009,174
M4-FUNG-0042:U001,M4-FUNG-0042,U001,boundary_vs_recovery,"MIBiG marks the five-gene locus complete, while adjacent AdaE later contributes strongly to export/tolerance in engineered hosts.",complete core pathway,adjacent transporter function,Treat core biosynthetic completeness as valid while separately recording recovery-programme extension.,resolved-for-atlas,S001; S007; S008,176
M4-FUNG-0042:U002,M4-FUNG-0042,U002,AdaB_necessity,"AdaB is described as a Claisen cyclase/off-loading enzyme, but AdaA+AdaC can produce trace tetracyclic product without it.",strong catalytic role,low-efficiency spontaneous cyclization,Encode AdaB as a major catalytic enhancer rather than an absolutely indispensable fourth-ring-forming gene.,resolved-for-atlas,S003,177
M4-FUNG-0042:U003,M4-FUNG-0042,U003,AdaB_metal_provenance,The dimanganese mechanism is experimentally rigorous for the close homolog AptB; soluble AdaB was not characterized to the same metal depth in the 2011 study.,AptB metal/mutagenesis,AdaB direct heterologous function,Transfer mechanism cautiously; do not assign exact AdaB Mn stoichiometry as direct.,open-provenance,S003,178
M4-FUNG-0042:U004,M4-FUNG-0042,U004,product_entity,"TAN-1612 and BMS-192548 were historically isolated/named separately, but later synthesis treats BMS-192548 as likely a tautomerized form of TAN-1612 during purification.",historical separate isolations,later chemical synthesis/review,Preserve names but avoid treating them as separate BGC products without state-aware chemistry.,open,S004; S005; S009,179
M4-FUNG-0042:U005,M4-FUNG-0042,U005,native_activation_trigger,"AdaR overexpression activates the pathway, but the natural upstream environmental signal for AdaR remains unidentified.",direct TF activation,no native trigger experiment,Keep native environmental trigger NR.,open,S003; S006,180
M4-FUNG-0042:U006,M4-FUNG-0042,U006,AdaE_native_role,"AdaE is adjacent and improves engineered-yeast recovery, but direct native A. niger substrate-specific transport has not been demonstrated.",adjacency + engineering phenotype,no native transport assay,"Classify as putative TAN-1612 transporter/recovery factor, not proven direct exporter.",open,S007; S008,181
M4-FUNG-0042:U007,M4-FUNG-0042,U007,strain_product_history,"The gene cluster was elucidated in A. niger ATCC1015, while historical BMS-192548 came from A. niger WB2346 and TAN-1612 was originally isolated from another filamentous fungus.",ATCC1015 genetic evidence,historical compound-isolation strains,Separate product-history provenance from source-strain pathway causality.,resolved-for-atlas,S003; S004; S005,182
M4-FUNG-0042:U008,M4-FUNG-0042,U008,methyltransferase_relocation,Out-of-cluster AdaD-like re-expression appears to restore methylation incompletely in thesis work.,thesis engineering data,lack of peer-reviewed confirmation,Retain as moderate evidence for genomic/expression-context effects.,open-provenance,S010,183
M4-FUNG-0043:U001,M4-FUNG-0043,U001,database_boundary,MIBiG displays ATEG_06279 but primary functional study defines an eight-gene cluster skipping it.,nine displayed CDSs,eight-gene deletion-defined programme,Treat ATEG_06279 as neighboring nonpathway feature unless new evidence emerges.,CONFLICTING,S001; S003; S010,167
M4-FUNG-0043:U002,M4-FUNG-0043,U002,AtG_function_revision,2014 reasoning tentatively placed AtG at epoxidation; 2018 reconstruction assigns that chemistry to AtD.,early prediction,later direct reconstruction,Use 2018 mechanism; retain revision history.,resolved-for-atlas,S003; S004,168
M4-FUNG-0043:U003,M4-FUNG-0043,U003,AtG_mechanism,AtG enhances AtE but does not substitute and Y2H interaction is negative.,add-back phenotype,negative interaction assay,Helper role with unresolved mechanism.,open,S004,169
M4-FUNG-0043:U004,M4-FUNG-0043,U004,AtB_transport,"AtB deletion affects TA output, but substrate-specific transport is unproven.",native genetics,no transport assay,Keep exact substrate/direction unresolved.,open,S003,170
M4-FUNG-0043:U005,M4-FUNG-0043,U005,gene_models,2018 cDNA corrected several legacy genome predictions.,legacy genomic models,cDNA/reconstruction,Use genomic coordinates for identity but corrected models for function.,resolved-for-atlas,S001; S004,171
M4-FUNG-0044:U001,M4-FUNG-0044,U001,product_identity,"MIBiG BGC0000161.4 lists isoterrein, whereas the defining and later mechanistic literature consistently assigns the ATEG_00135–00145 locus to terrein.",current MIBiG product,2014–2026 terrein literature,Treat as a database-product conflict; do not normalize isoterrein and terrein as synonyms.,CONFLICTING,S001; S003; S004; S006; S013,194
M4-FUNG-0044:U002,M4-FUNG-0044,U002,minimal_vs_physical_boundary,"All 11 genes are coexpressed within the physical locus, but terG/H/I are dispensable for final product formation.",physical/coexpression boundary,deletion-defined necessity,Keep the full BGC and separately encode the minimal/essential biosynthetic-regulatory core.,resolved-for-atlas,S003; S005; S011,195
M4-FUNG-0044:U003,M4-FUNG-0044,U003,transport_assignment,"TerG and TerJ are MFS transporters and plausible exporters/self-resistance factors, but direct transport assays are lacking.",MFS annotations + ecological model,no substrate-specific assay,Retain as putative export/recovery genes.,open,S003; S004; S011,196
M4-FUNG-0044:U004,M4-FUNG-0044,U004,TerE_TerF_chemistry,Late oxidase functions remain incompletely assigned.,cluster genetics/oxidase annotation,absence of complete purified-enzyme map,Do not force a full late linear pathway beyond TerC/TerD.,open,S007; S011,197
M4-FUNG-0044:U005,M4-FUNG-0044,U005,ecological_scope,"Direct experiments demonstrate phytotoxic, competitive and iron-mobilizing properties, but the relative contribution of each role in natural populations is unresolved.",multiple direct assays,no field-fitness partitioning,Encode multiple demonstrated functions without ranking a single universal ecological purpose.,open,S004,198
M4-FUNG-0044:U006,M4-FUNG-0044,U006,global_regulator_causality,"AreA/AtfA/HapX clearly affect terR/terrein under their respective conditions, but upstream cross-talk and additional signal-transduction components remain unresolved.",global-TF genetics,incomplete upstream signaling map,Use condition-specific regulator relations only.,open,S004,199
M4-FUNG-0044:U007,M4-FUNG-0044,U007,hstD_pleiotropy,hstD deletion raises ter output but histone deacetylase perturbation is genome-wide.,ter upregulation,global chromatin effects,"Keep as chromatin-access evidence, not a pathway-specific regulatory law.",open,S009,200
M4-FUNG-0044:U008,M4-FUNG-0044,U008,isoterrein_natural_cooccurrence,"Terrein and isoterrein can co-occur in other Aspergillus isolates, so database mislabel cannot be repaired merely from formula or genus-level metabolomics.",same formula/natural co-occurrence,source-locus experimental attribution,Require locus-resolved evidence before assigning isoterrein to BGC0000161.,open,S013,201
M4-FUNG-0045:U001,M4-FUNG-0045,U001,boundary,MIBiG includes more physical CDS features than the named vrt programme.,22 display features,~14 functional named genes,Keep physical and functional boundaries separate.,open,S001; S003,172
M4-FUNG-0045:U002,M4-FUNG-0045,U002,regulation,"Two regulator genes are encoded, but native signal logic is poorly resolved.",cluster TF annotations,lack of signal perturbation data,Do not invent an activation trigger.,open,S003,173
M4-FUNG-0045:U003,M4-FUNG-0045,U003,ecological_role,Antibacterial activity is established but producer ecological benefit is not.,compound bioactivity,no producer-fitness test,Keep native role unresolved.,open,S003,174
M4-FUNG-0046:U001,M4-FUNG-0046,U001,reaction_order,Exact ordering of some prenylation/oxidative steps is branch dependent.,mutant profiles,multiple viable pathway branches,Avoid forcing a single linear arrow sequence.,open,S003,168
M4-FUNG-0046:U002,M4-FUNG-0046,U002,regulation,"YanR is a local regulator candidate, but native trigger logic is not resolved.",cluster annotation,limited environmental genetics,Keep environmental trigger NR.,open,S003,169
M4-FUNG-0046:U003,M4-FUNG-0046,U003,ecological_role,Antimicrobial activity is known but producer-level ecological benefit is not.,bioactivity,no fitness study,Do not infer native role.,open,S003,170
M4-FUNG-0047:U001,M4-FUNG-0047,U001,gene_naming,Not all displayed ATEG loci are consistently mapped to common Ata protein names across secondary sources.,locus coordinates,variable nomenclature,Prefer locus IDs and direct evidence over uncertain name mapping.,open,S001; S003,168
M4-FUNG-0047:U002,M4-FUNG-0047,U002,boundary,Current MIBiG shows ten CDSs while the primary paper defines nine required genes.,database display,deletion results,Treat one displayed neighbor as nonrequired until evidence says otherwise.,CONFLICTING,S001; S003,169
M4-FUNG-0047:U003,M4-FUNG-0047,U003,ecological_role,ETP bioactivity does not establish producer ecology.,compound class activity,no producer-fitness assay,Keep native role unresolved.,open,S003,170
M4-FUNG-0048:U001,M4-FUNG-0048,U001,activation,No source-specific environmental activation rule has been established.,productive pathway,no trigger study,Keep trigger NR.,open,S003,164
M4-FUNG-0048:U002,M4-FUNG-0048,U002,ecological_role,No producer-fitness/ecological function is directly established.,compound existence,no ecological perturbation,Keep role unresolved.,open,S003,165
M4-FUNG-0048:U003,M4-FUNG-0048,U003,physical_boundary,The broad display contains flanking sequence not required by the three direct enzymes.,MIBiG interval,direct functional locus,Do not count flanking genes as pathway members.,resolved-for-atlas,S001; S003,166
M4-FUNG-0049:U001,M4-FUNG-0049,U001,taxonomy,Primary source calls producer F. semitectum; MIBiG now assigns Fusarium incarnatum.,historical name,current taxonomy,Preserve both provenance labels.,resolved-for-atlas,S001; S003,169
M4-FUNG-0049:U002,M4-FUNG-0049,U002,APS4,APS4 has plausible Aoda aminotransferase chemistry but original deletion had no effect.,pathway chemistry,source genetic negative,Do not upgrade to essential.,CONFLICTING,S003; S004,170
M4-FUNG-0049:U003,M4-FUNG-0049,U003,APS11,Putative efflux role lacks knockout causality because deletion attempts failed.,annotation,failed deletion,Keep unresolved.,open,S003,171
M4-FUNG-0049:U004,M4-FUNG-0049,U004,ecological_role,HDAC/antiprotozoal activity is not source-fungus ecological evidence.,pharmacology,no fitness assay,Keep unresolved.,open,S003,172
M4-FUNG-0050:U001,M4-FUNG-0050,U001,regulation,No cluster-local transcription factor exists in the one-gene core and native transcriptional control is poorly resolved.,single ORF,limited regulation studies,Keep activation trigger NR.,open,S003,164
M4-FUNG-0050:U002,M4-FUNG-0050,U002,ecological_role,Antifungal activity is strong but producer-level ecological benefit is not directly tested.,compound activity,no producer-fitness experiment,Do not infer native role.,open,S004,165
M4-FUNG-0050:U003,M4-FUNG-0050,U003,strain_provenance,Genetic cloning used BP-1938 whereas original compound isolation used R106.,two producer strains,same aureobasidin chemistry,Preserve separate provenance.,resolved-for-atlas,S003; S004,166
M4-FUNG-0051:U001,M4-FUNG-0051,U001,neighbor_genes,Current MIBiG display includes multiple neighboring CDSs without defining-study evidence of bassianolide-pathway necessity.,physical display,single-gene knockout causality,Do not promote neighbors to pathway genes.,resolved-for-atlas,S001; S003,164
M4-FUNG-0051:U002,M4-FUNG-0051,U002,precursor_supply,Direct local genetic source of D-Hiv for bassianolide was not established in the defining paper.,substrate requirement,no local precursor gene proof,Keep precursor supply extra-cluster/unresolved.,open,S003,165
M4-FUNG-0051:U003,M4-FUNG-0051,U003,virulence_scope,Bassianolide is significant but should not be called universally indispensable for pathogenicity.,infection effect,fungus remains infective,"Use 'virulence factor', not absolute requirement.",resolved-for-atlas,S003,166
M4-FUNG-0052:U001,M4-FUNG-0052,U001,neighbor_genes,Most CDSs in the 33.5-kb display lack direct beauvericin pathway evidence.,physical display,bbBeas+kivr functional core,"Treat neighbors as neighborhood, not BGC machinery.",resolved-for-atlas,S001; S003,164
M4-FUNG-0052:U002,M4-FUNG-0052,U002,virulence_scope,Direct contribution is significant but not indispensable.,knockout phenotype,residual infectivity,Use graded virulence language.,resolved-for-atlas,S003,165
M4-FUNG-0052:U003,M4-FUNG-0052,U003,native_regulation,Environmental/signaling regulation of bbBeas is not defined by core study.,active production,no trigger genetics,Keep trigger NR.,open,S003,166
M4-FUNG-0053:U001,M4-FUNG-0053,U001,retired_record,Current MIBiG exposes zero genes despite extensive early-cluster literature.,retired database state,primary genetics,Preserve historical seed locus and literature-derived genes.,resolved-for-atlas,S001; S003,166
M4-FUNG-0053:U002,M4-FUNG-0053,U002,chromosome_numbering,Classical early/late chromosome numbering may not map one-to-one onto modern assemblies/strain karyotypes.,classical PFGE,modern scaffolds,State split-cluster fact without forcing one universal chromosome label.,open-provenance,S008,167
M4-FUNG-0053:U003,M4-FUNG-0053,U003,cefT_role,CefT is an MFS exporter candidate but deletion is not essential and amplification improves production.,knockout negative,overexpression positive,"Encode as modulatory/redundant export, not essential transporter.",resolved-for-atlas,S012,168
M4-FUNG-0053:U004,M4-FUNG-0053,U004,ecological_role,Industrial antibacterial importance is not evidence for native producer ecology.,antibiotic function,no ecological-fitness test,Keep native role unresolved.,open,S007,169
M4-FUNG-0054:U001,M4-FUNG-0054,U001,retired_record,Current MIBiG has no gene features for BGC0000318.,retired database,well-established cefEF/cefG genetics,Use historical seed locus and primary literature.,resolved-for-atlas,S001; S003,164
