claim_key,dossier_id,claim_id,claim_text,evidence_type_raw,direct_or_inferred_raw,supporting_detail_raw,caveat_raw,source_ids,source_row
M4-FUNG-0046:C001,M4-FUNG-0046,C001,Yanuthone D formation depends on a ten-gene cluster,deletion/chemical genetics,direct,Ten genes define the pathway.,,S003,146
M4-FUNG-0046:C002,M4-FUNG-0046,C002,YanI represents an unusual O-mevalon transferase step,genetic/biochemical assignment,direct,Mevalonate is transferred onto an oxygen of the scaffold.,,S003,147
M4-FUNG-0046:C003,M4-FUNG-0046,C003,Cluster-enzyme dependence does not imply one shared scaffold origin,branch-metabolite analysis,direct/inferred,Yanuthone X1 uses yan-cluster enzymatic activities but is not 6-MSA derived.,,S003,148
M4-FUNG-0047:C001,M4-FUNG-0047,C001,Nine genes are required for acetylaranotin biosynthesis,systematic targeted deletion,direct,Primary study explicitly defines a nine-gene functional cluster.,,S003,146
M4-FUNG-0047:C002,M4-FUNG-0047,C002,AtaP is the essential NRPS entry enzyme,targeted deletion,direct,ΔataP eliminates pathway products.,,S003,147
M4-FUNG-0047:C003,M4-FUNG-0047,C003,The pathway is branched and order-flexible rather than strictly linear,mutant metabolomics,inferred,17 products expose shunt branches and interchangeable tailoring order.,,S003,148
M4-FUNG-0048:C001,M4-FUNG-0048,C001,Three enzymes account for the characterized acetylaszonalenin route,direct enzyme biochemistry,direct,AnaPS→AnaPT→AnaAT.,,S003; S004,142
M4-FUNG-0048:C002,M4-FUNG-0048,C002,AnaPS module 1 directly activates anthranilate,adenylation biochemistry,direct,Establishes anthranilate A-domain code.,,S004,143
M4-FUNG-0048:C003,M4-FUNG-0048,C003,MIBiG physical display substantially exceeds the minimal functional core,database/evidence comparison,inferred,47.1-kb display versus ~12.8-kb three-gene locus.,,S001; S003,144
M4-FUNG-0049:C001,M4-FUNG-0049,C001,Eight genes were required by the primary 19-gene deletion survey,systematic deletion,direct,MIBiG's physical gene list is broader than deletion-defined necessity.,,S003,147
M4-FUNG-0049:C002,M4-FUNG-0049,C002,APS2 is a positive pathway regulator and an activation lever,deletion + overexpression,direct,Loss blocks product; overexpression increases it.,,S003,148
M4-FUNG-0049:C003,M4-FUNG-0049,C003,The local BGC is not biochemically autonomous for Aoda precursor formation,comparative/pathway synthesis,inferred,APS5 alpha FAS is cluster-local but partner beta subunit is extra-cluster.,,S004,149
M4-FUNG-0050:C001,M4-FUNG-0050,C001,Aureobasidin A biosynthesis is directly attributable to a single giant NRPS gene,gene replacement,direct,Disrupting aba1 module 4 abolishes production.,,S003,142
M4-FUNG-0050:C002,M4-FUNG-0050,C002,Aba1 is an extreme repetitive modular enzyme,sequence architecture,direct,Eight modules show high internal sequence identity; related modules reach ~95% identity.,,S003,143
M4-FUNG-0050:C003,M4-FUNG-0050,C003,Precursor availability can redirect product congeners without changing the gene,feeding study,direct/inferred,Analog feeding creates new aureobasidins.,,S005,144
M4-FUNG-0051:C001,M4-FUNG-0051,C001,bbBsls is specifically required for bassianolide but not beauvericin,targeted knockout + metabolomics,direct,Separates two co-produced depsipeptide pathways.,,S003,142
M4-FUNG-0051:C002,M4-FUNG-0051,C002,Bassianolide is a directly demonstrated insect virulence factor,three-host infection assay,direct,Knockout changes virulence in three insect hosts.,,S003,143
M4-FUNG-0051:C003,M4-FUNG-0051,C003,The directly supported biosynthetic core is much smaller than the displayed genomic interval,database/source audit,inferred,One causal synthetase inside a 41-kb display.,,S001; S003,144
M4-FUNG-0052:C001,M4-FUNG-0052,C001,BbBEAS is both genetically necessary and heterologously sufficient for beauvericin assembly given precursor supply,knockout + heterologous expression,direct,Source knockout loses product; E. coli expressing enzyme gains product.,,S003,142
M4-FUNG-0052:C002,M4-FUNG-0052,C002,KIVR is a direct precursor-supply gene within the local mini-programme,functional precursor biochemistry,direct,Provides D-Hiv from ketoisovalerate.,,S004,143
M4-FUNG-0052:C003,M4-FUNG-0052,C003,Beauvericin is a significant but non-indispensable virulence factor,three-host infection study,direct,Knockout reduces virulence without abolishing infection.,,S003,144
M4-FUNG-0053:C001,M4-FUNG-0053,C001,Cephalosporin C biosynthesis is split across two genomic clusters,classical genetics/genome organization,direct,Early pcbAB/pcbC-related cluster and late cefEF/cefG cluster are physically separate.,,S008,144
M4-FUNG-0053:C002,M4-FUNG-0053,C002,"Peroxisomal trafficking is essential, not optional context",transporter knockouts/localization,direct,CefP and CefM loss block CPC despite intact catalytic genes.,,S004; S005,145
M4-FUNG-0053:C003,M4-FUNG-0053,C003,CefR in the early cluster regulates both local export and the distant late cluster,deletion/overexpression/transcription,direct,Represses cefT and stimulates cefEF.,,S006,146
M4-FUNG-0054:C001,M4-FUNG-0054,C001,CefEF performs two consecutive late oxygenation/ring-expansion activities,biochemical/genetic pathway,direct,PenN→DAOC→DAC.,,S006,142
M4-FUNG-0054:C002,M4-FUNG-0054,C002,CefG performs the final CPC-forming O-acetylation,targeted disruption + enzyme expression,direct,ΔcefG accumulates DAC and loses CPC.,,S003; S010,143
M4-FUNG-0054:C003,M4-FUNG-0054,C003,The late cluster cannot be interpreted as an autonomous BGC,split-cluster pathway synthesis,inferred,It requires PenN from the early cluster after peroxisomal processing.,,S007,144
M4-FUNG-0055:C001,M4-FUNG-0055,C001,The KF496217.1 locus is associated with chaetocin biosynthesis.,sequence/cluster mapping,direct,Cluster cloned and sequenced from the producer.,Association is stronger than gene-by-gene causal proof.,S004,136
M4-FUNG-0055:C002,M4-FUNG-0055,C002,Detailed sulfur-installation and dimerization assignments remain incompletely validated.,evidence audit,synthesis,Defining study proposed a route largely from ETP homology.,Do not convert proposal into demonstrated enzyme mechanism.,S004; S006,137
M4-FUNG-0056:C001,M4-FUNG-0056,C001,The causal cyclosporin programme is narrower than the current 20-CDS database window.,boundary refinement,synthesis,simA–simL carry the strongest direct genetic support.,Do not discard flanking CDSs as impossible contributors; classify them as unvalidated.,S001; S005,149
M4-FUNG-0056:C002,M4-FUNG-0056,C002,SimL is a pathway-positive regulator whose deletion abolishes detectable cyclosporin A-C.,genetic perturbation,direct,,,S005,150
M4-FUNG-0056:C003,M4-FUNG-0056,C003,SimC and SimD contribute self-protection/ecological fitness without being equivalent to core assembly enzymes.,genetic/ecological,direct,,,S005,151
M4-FUNG-0057:C001,M4-FUNG-0057,C001,DtxS1–DtxS4 form the direct causal core of destruxin biosynthesis.,genetics + rescue,direct,,,S004,152
M4-FUNG-0057:C002,M4-FUNG-0057,C002,Precursor feeding localizes DtxS3 to HIC supply and DtxS4 to beta-alanine supply.,rescue experiment,direct,,,S004,153
M4-FUNG-0057:C003,M4-FUNG-0057,C003,Destruxin immune effects are clearer than a simple one-to-one virulence phenotype.,host phenotype,direct,Different insect hosts/mutants show modest LT50 shifts despite biochemical pathway disruption.,Avoid equating any one virulence assay with pathway activation itself.,S004,154
M4-FUNG-0058:C001,M4-FUNG-0058,C001,"The 2012 genetics established dependence on both Ecd and Hty functions, but the apparent physical split between the subclusters was a genome-assembly artifact; 2016 reassembly supports one continuous Ecd/Hty cluster.",genetics + assembly reinterpretation,direct/synthesis,ΔhtyA/rescue remains valid functional evidence; physical separation is not current architecture.,Preserve the 2012 split model only as historical provenance.,S004; S006,138
M4-FUNG-0058:C002,M4-FUNG-0058,C002,EcdI directly performs lipo-initiation by activating linoleate and loading EcdA.,biochemistry,direct,,,S004,139
M4-FUNG-0058:C003,M4-FUNG-0058,C003,EcdB DNA binding does not establish necessity for pathway output.,negative perturbation,direct,,,S005,140
M4-FUNG-0059:C001,M4-FUNG-0059,C001,esyn1 encodes the multifunctional enniatin synthetase.,molecular/biochemical characterization,direct,,,S004,126
M4-FUNG-0059:C002,M4-FUNG-0059,C002,The one-gene MIBiG representation is not a complete physiological description of enniatin biosynthesis.,scope inference,synthesis,Precursors and cofactor/methyl-donor metabolism are supplied outside the locus.,Do not infer biochemical autonomy from locus compactness.,S001; S004,127
M4-FUNG-0059:C003,M4-FUNG-0059,C003,"In the historical Fusarium scirpi fermentation system, enniatin production is growth-phase restricted even though enniatin synthetase expression is constitutive across growth, stationary phase and spores.",fermentation time-course / expression,direct,Product formation occurred during mycelial growth but not stationary phase; enzyme and mRNA persisted beyond the productive window.,Historical F. scirpi physiological result should not be silently transferred as strain-specific evidence to every modern F. equiseti isolate.,S006,128
M4-FUNG-0060:C001,M4-FUNG-0060,C001,Ergovaline-pathway transcription is strongly dependent on the in-planta symbiotic state.,state-dependent expression,direct,,,S004,131
M4-FUNG-0060:C002,M4-FUNG-0060,C002,lpsB is necessary for ergovaline formation and its loss exposes upstream intermediates.,genetic/metabolomic,direct,,,S004,132
M4-FUNG-0060:C003,M4-FUNG-0060,C003,The EAS programme is larger than the six-gene MIBiG segment and embedded in repeat-rich DNA.,architecture,direct,,,S004,133
M4-FUNG-0060:C004,M4-FUNG-0060,C004,"In E. festucae var. lolii AR5, black-beetle feeding deterrence can persist when ergovaline is genetically eliminated, with deterrence accumulating across upstream ergot-alkaloid intermediates.",comparative strain genetics / feeding assay,direct in AR5; comparative to this dossier,AR5 dmaW/easG/cloA/lpsB deletion series produced pathway-resolved alkaloid profiles and black-beetle feeding outcomes.,Do not transfer the ecological phenotype as direct Fl1 evidence; it refines the species-level interpretation that pathway bioactivity is not synonymous with ergovaline alone.,S005,134
M4-FUNG-0061:C001,M4-FUNG-0061,C001,The fumiquinazoline pathway is developmentally gated by conidiation and spatially completed through FmqD secretion.,developmental + localization,direct,,,S006,133
M4-FUNG-0061:C002,M4-FUNG-0061,C002,"FmqA→FQF, FmqB/FmqC→FQA and FmqD→FQC define a resolved enzyme sequence.",biochemical pathway,direct,,,S004; S005,134
M4-FUNG-0061:C003,M4-FUNG-0061,C003,The adjacent MFS transporter is not required for core FQ biosynthesis in the tested system.,negative genetics,direct,,,S006,135
M4-FUNG-0062:C001,M4-FUNG-0062,C001,HcpA is necessary for the identified hydrophobic cyclic and derived linear tetrapeptides.,knockout metabolomics,direct,,,S004,134
M4-FUNG-0062:C002,M4-FUNG-0062,C002,Congener diversity arises from broad substrate acceptance rather than a large multi-gene tailoring cluster.,mechanistic interpretation,synthesis,,,S004,135
M4-FUNG-0063:C001,M4-FUNG-0063,C001,GliP is necessary for gliotoxin production.,knockout metabolomics,direct,,,S005,139
M4-FUNG-0063:C002,M4-FUNG-0063,C002,"GliZ is a positive cluster regulator, but virulence effects depend on model and broader secondary-metabolism context.",regulatory genetics,direct,,,S006,140
M4-FUNG-0063:C003,M4-FUNG-0063,C003,GliT couples final disulfide formation to producer self-protection.,biochemistry + genetics,direct,,,S007,141
M4-FUNG-0063:C004,M4-FUNG-0063,C004,Loss of gliotoxin did not reduce virulence in the tested low-dose mouse infection model.,negative organism-level phenotype,direct,,,S005,142
M4-FUNG-0064:C001,M4-FUNG-0064,C001,HTS1 is required for HC-toxin biosynthesis and host-selective pathogenicity.,double-copy knockout,direct,,,S005,137
M4-FUNG-0064:C002,M4-FUNG-0064,C002,TOX2 is a large duplicated pathogenicity locus rather than a conventional compact BGC.,physical mapping,direct,,,S004,138
M4-FUNG-0064:C003,M4-FUNG-0064,C003,"TOXE regulates a subset of TOX2 genes but not HTS1, showing nonuniform regulatory control within the locus.",regulatory genetics,direct,,,S007,139
M4-FUNG-0064:C004,M4-FUNG-0064,C004,Host susceptibility is mechanistically linked to HC-toxin action on histone deacetylases and host detoxification capacity.,host mechanism,direct,,,S010; S011,140
M4-FUNG-0065:C001,M4-FUNG-0065,C001,HasA is sufficient to activate the has cluster and HAS production.,regulator overexpression,direct,,,S003,134
M4-FUNG-0065:C002,M4-FUNG-0065,C002,HAS production is coupled to iron homeostasis rather than being an isolated metabolite-output trait.,physiology + metabolomics,direct/inferred,,,S004,135
M4-FUNG-0065:C003,M4-FUNG-0065,C003,The experimentally supported has programme is narrower than the current generated MIBiG region.,boundary evidence,synthesis,,,S001; S003,136
M4-FUNG-0066:C001,M4-FUNG-0066,C001,The 56.8-kb amplification unit is not equivalent to a 16-gene essential penicillin pathway.,boundary/genetics,synthesis,Only three genes form the established catalytic core.,,S003,132
M4-FUNG-0066:C002,M4-FUNG-0066,C002,Industrial selection changes pathway dosage through tandem amplification.,genomic architecture,direct,,,S003; S004,133
M4-FUNG-0066:C003,M4-FUNG-0066,C003,Penicillin production depends on cell-compartment competence as well as gene presence.,cell biology,direct/inferred,,,S008,134
M4-FUNG-0067:C001,M4-FUNG-0067,C001,"pcbAB, pcbC and penDE define the direct catalytic core of fungal penicillin biosynthesis.",functional enzymology,direct,,,S003,130
M4-FUNG-0067:C002,M4-FUNG-0067,C002,Physical colocalization is insufficient to capture the pathway's peroxisomal and precursor-supply requirements.,cellular-context synthesis,synthesis,,,S006,131
M4-FUNG-0067:C003,M4-FUNG-0067,C003,BGC0000405 and BGC0000404 should be linked as the catalytic core and its industrial amplification context.,database reconciliation,synthesis,,,S001,132
M4-FUNG-0068:C001,M4-FUNG-0068,C001,The roq pathway contains two early reaction orders that converge on roquefortine C.,branched pathway genetics/metabolomics,direct,,,S003; S004,137
M4-FUNG-0068:C002,M4-FUNG-0068,C002,"Phenylacetic acid represses the roq programme, demonstrating cross-pathway medium context.",transcription/metabolomics,direct,,,S003,138
M4-FUNG-0068:C003,M4-FUNG-0068,C003,PcLaeA is not a universal regulator of every secondary-metabolite cluster in this strain.,negative regulator evidence,direct,,,S005,139
M4-FUNG-0069:C001,M4-FUNG-0069,C001,Five Tdi proteins are sufficient to reconstruct terrequinone A in E. coli.,heterologous reconstruction,direct,,,S003,131
M4-FUNG-0069:C002,M4-FUNG-0069,C002,TdiB performs two distinct prenylation events in one pathway.,biochemical reconstitution,direct,,,S003; S005,132
M4-FUNG-0069:C003,M4-FUNG-0069,C003,TdiE is functionally required for pathway fidelity even though its precise reaction is unresolved.,component subtraction,direct/inferred,,,S003,133
M4-FUNG-0070:C001,M4-FUNG-0070,C001,Verlamelin biosynthesis requires four cluster genes but no cluster-local FAS/PKS.,genetics/architecture,direct,,,S003,129
M4-FUNG-0070:C002,M4-FUNG-0070,C002,The lipid moiety is supplied from primary fatty-acid metabolism.,precursor rescue,direct,,,S003,130
M4-FUNG-0070:C003,M4-FUNG-0070,C003,Retired database status does not imply weak biological evidence.,database/evidence synthesis,synthesis,,,S001; S003,131
M4-FUNG-0071:C001,M4-FUNG-0071,C001,Ustiloxin B is a ribosomal fungal RiPP despite an NRPS-like gene annotation inside the locus.,precursor genetics/classification,direct,,,S004,146
M4-FUNG-0071:C002,M4-FUNG-0071,C002,UstR is a sufficient transcriptional gate for activation of the silent homologous A. oryzae cluster.,forced regulator expression,direct,,,S005,147
M4-FUNG-0071:C003,M4-FUNG-0071,C003,"KexB is an out-of-cluster processing requirement, so BGC presence/expression alone is insufficient for mature product formation.",knockout processing,direct,,,S005,148
M4-FUNG-0072:C001,M4-FUNG-0072,C001,Aflatrem biosynthesis is split between ATM1 and ATM2 on separate chromosomes.,physical/genetic mapping,direct,,,S004,136
M4-FUNG-0072:C002,M4-FUNG-0072,C002,Both loci are coordinately induced with toxin production.,expression time course,direct,,,S003; S004,137
M4-FUNG-0072:C003,M4-FUNG-0072,C003,The retired MIBiG ATM1 record is a partial historical representation rather than the complete pathway.,database reconciliation,synthesis,,,S001; S004,138
M4-FUNG-0073:C001,M4-FUNG-0073,C001,BcBOT2 commits FPP to the botrydial pathway by forming presilphiperfolan-8β-ol.,knockout/complementation + recombinant biochemistry,direct,Loss of BcBOT2 abolishes BOT; recombinant enzyme forms PSP.,,S003; S004,135
M4-FUNG-0073:C002,M4-FUNG-0073,C002,BcBOT3 and BcBOT4 perform distinct regio- and stereospecific hydroxylations in BOT biosynthesis.,gene knockout + metabolite structure analysis,direct,Mutant intermediate accumulation assigns C-10 and C-4 oxidation steps.,,S006,136
M4-FUNG-0073:C003,M4-FUNG-0073,C003,BcBot6 is a major positive regulator of botrydial biosynthesis.,regulator knockout/localization,direct,Nuclear Zn(II)2Cys6 factor; deletion suppresses BOT production.,,S007,137
M4-FUNG-0073:C004,M4-FUNG-0073,C004,Botrydial contribution to virulence is strain/context dependent rather than universally essential.,pathogenicity phenotyping,direct,Earlier strain-specific phenotype and B05.10 BcBot6 data do not support universal necessity.,,S005; S007,138
M4-FUNG-0074:C001,M4-FUNG-0074,C001,PR-toxin biosynthesis is causally linked to a terpene cluster initiated by aristolochene synthase.,gene cloning + RNAi + metabolite analysis,direct,ari1/prx2 forms aristolochene and multiple neighboring genes affect PR-toxin output.,,S003; S004,142
M4-FUNG-0074:C002,M4-FUNG-0074,C002,The current P. roqueforti FM164 model contains 11 local ORFs over about 22.4 kb.,genome analysis + comparative synteny,direct,Historical prx nomenclature placed some orthologs on another contig.,,S004,143
M4-FUNG-0074:C003,M4-FUNG-0074,C003,Culture architecture can expose a poorly expressed homologous PR-toxin cluster.,condition comparison,direct,Static hydrated rice permits PR-toxin production in P. chrysogenum.,,S003,144
M4-FUNG-0074:C004,M4-FUNG-0074,C004,PR-toxin pathway perturbation cross-talks with other secondary-metabolite programmes.,RNAi / comparative production,direct,prx silencing increases mycophenolic acid; penicillin-region deletion increases PR-toxin in P. chrysogenum.,,S003,145
M4-FUNG-0075:C001,M4-FUNG-0075,C001,PbcR is a pathway-specific transcriptional activation gate for this diterpene programme.,transcription-factor overexpression,direct,PbcR induction coordinately activates the cluster and product formation.,,S003; S006,135
M4-FUNG-0075:C002,M4-FUNG-0075,C002,"The historical ent-pimara-8(14),15-diene assignment is not the best current structural interpretation of the pathway.",stereochemical/biochemical revision,synthesis/direct,2017 analysis raised the stereochemical problem; 2026 LC-MS/NMR/genetics supports an isopimarane scaffold.,,S005; S006,136
M4-FUNG-0075:C003,M4-FUNG-0075,C003,PbcA and PbcB are direct core biosynthetic requirements for the modern isopimarane product family.,gene deletion,direct,,,S006,137
M4-FUNG-0075:C004,M4-FUNG-0075,C004,Analytical and activation architecture materially changes the observable chemical output of this BGC.,cross-study experimental comparison,synthesis,2012 detected a dominant hydrocarbon; 2026 background suppression plus inducible activation exposed seven isopimarane products.,,S003; S004; S006,138
M4-FUNG-0076:C001,M4-FUNG-0076,C001,"PbGGS, PbACS, PbP450-1 and PbP450-2 are sufficient for total aphidicolin biosynthesis in A. oryzae.",heterologous reconstruction,direct,stepwise double/triple/quadruple transformants resolve scaffold and oxidation sequence,does not establish PbTP/PbTF as dispensable in native ecology,S004,134
M4-FUNG-0076:C002,M4-FUNG-0076,C002,ER localization is a pathway-execution requirement for efficient PbP450-1 function.,localization + domain deletion,direct,transmembrane-domain deletion disrupts ER localization and nearly abolishes aphidicolin,demonstrated in A. oryzae heterologous context,S005,135
M4-FUNG-0076:C003,M4-FUNG-0076,C003,Current taxonomy places the historical Phoma betae producer under Neocamarosporium betae.,taxonomy reconciliation,direct/synthesis,NCBI current name and phylogenetic revision agree on Neocamarosporium betae,retain Phoma betae for historical source provenance,S001; S002; S006,136
M4-FUNG-0076:C004,M4-FUNG-0076,C004,Late aphidicolin maturation proceeds through sequential P450-dependent oxidations.,heterologous reconstruction + inhibitor/intermediate feeding,direct,triple transformant and P450-inhibitor studies accumulate deoxy/intermediate products,exact native order of every minor congener should not be overgeneralized,S004; S008,137
M4-FUNG-0077:C001,M4-FUNG-0077,C001,Austinol and dehydroaustinol biosynthesis requires two physically separate gene clusters.,targeted deletions + metabolite isolation,direct,four-gene AusA cluster plus ten-gene AusN-containing cluster are both required,,S003,67
M4-FUNG-0077:C002,M4-FUNG-0077,C002,A single contiguous BGC boundary is biologically incomplete for this pathway.,database reconciliation,synthesis,,,S001; S003,68
M4-FUNG-0127:C001,M4-FUNG-0127,C001,CgsG overexpression is sufficient to expose the shanorellin pathway for mechanistic dissection.,,,,,S003,33
M4-FUNG-0127:C002,M4-FUNG-0127,C002,"CgsA, CgsB and CgsF have direct experimentally supported roles in scaffold formation and oxidative maturation.",,,,,S003,34
M4-FUNG-0128:C001,M4-FUNG-0128,C001,"Specialized hydroxylation of amino-acid building blocks is a key competence layer for aculeacin/echinocandin scaffold assembly, but homolog-system evidence is not promoted to A. japonicus strain-specific causality.",,,,,S003; S004,32
M4-FUNG-0129:C001,M4-FUNG-0129,C001,"The defining biology is a redundant two-cluster metabolic programme, not a self-contained single retired locus.",,,,,S003,31
M4-FUNG-0147:C001,M4-FUNG-0147,C001,"The eqx locus, rather than the earlier EqiS-containing locus, is the genetically supported equisetin pathway in F. heterosporum.",,,,,S004,31
M4-FUNG-0147:C002,M4-FUNG-0147,C002,EqxS and EqxC jointly establish the core polyketide-peptide assembly logic of equisetin.,,,,,S004; S005,32
M4-FUNG-0148:C001,M4-FUNG-0148,C001,AtrA and AtrD directly extend L-tyrosine/shikimate metabolism to atromentin in T. panuoides.,,,,,S003,27
M4-FUNG-0149:C001,M4-FUNG-0149,C001,pks1 is causally required for melanization in Nodulisporium sp. ATCC 74245.,,,,,S003,27
M4-FUNG-0150:C001,M4-FUNG-0150,C001,pks1 is causally required for DHN-type melanization in G. lozoyensis.,,,,,S003,28
M4-FUNG-0151:C001,M4-FUNG-0151,C001,EfPKS1 is causally required for elsinochrome production and full pathogenicity-associated phenotypes in E. fawcettii.,,,,,S003,29
M4-FUNG-0151:C002,M4-FUNG-0151,C002,TSF1 provides a pathway-specific transcriptional gate layered on environmental light/nutrient/pH regulation.,,,,,S004; S005,30
M4-FUNG-0152:C001,M4-FUNG-0152,C001,Targeted disruption and precursor feeding establish an ordered oxidative pathway from paspaline to terpendole E and beyond.,,,,,S003,29
M4-FUNG-0152:C002,M4-FUNG-0152,C002,terP deletion is a genetically demonstrated route to selective terpendole E accumulation.,,,,,S003,30
M4-FUNG-0153:C001,M4-FUNG-0153,C001,AMT disruption directly couples loss of AM-toxin biosynthesis to loss of apple-pathotype pathogenicity.,,,,,S003,28
M4-FUNG-0154:C001,M4-FUNG-0154,C001,AKT-pathway genetics directly link AK-toxin biosynthesis to host-selective pathogenicity.,,,,,S003,30
M4-FUNG-0154:C002,M4-FUNG-0154,C002,AKT7 demonstrates that a pathway-associated P450 can negatively constrain final toxin output rather than simply catalyze an obligatory positive step.,,,,,S004,31
M4-FUNG-0155:C001,M4-FUNG-0155,C001,LPS2 and LPS3 are sufficient in the biochemical system to assemble ergometrine from lysergic acid and alanine.,,,,,S003,29
M4-FUNG-0156:C001,M4-FUNG-0156,C001,The betaenone core is produced by a mechanistically unusual HR-PKS/trans-ER system resolved through heterologous expression and enzymatic analysis.,,,,,S003,29
M4-FUNG-0156:C002,M4-FUNG-0156,C002,"The 50,001-bp database region remains completeness-unknown; direct core-enzyme evidence does not validate every neighboring gene as essential betaenone machinery.",,,,,S001; S003,30
M4-FUNG-0157:C001,M4-FUNG-0157,C001,PKS1 is causally required for B. oryzae melanin biosynthesis.,,,,,S003; S004,29
M4-FUNG-0157:C002,M4-FUNG-0157,C002,The reviewed evidence establishes pigmentation and near-UV-responsive pathway regulation; a specific virulence requirement is not inferred from these biosynthetic studies.,,,,,S003,30
M4-FUNG-0158:C001,M4-FUNG-0158,C001,"CgrPKS16 is the best-supported grayanic-acid PKS candidate, but the evidence is convergent inference and expression correlation rather than direct genetic causality.",,,,,S003,29
M4-FUNG-0158:C002,M4-FUNG-0158,C002,The neighboring P450 and O-methyltransferase provide chemically coherent pathway candidates without establishing each enzymatic step directly.,,,,,S001; S003,30
M4-FUNG-0159:C001,M4-FUNG-0159,C001,The C. fusiformis EAS locus is genetically organized for clavine production but has lost or degraded late-pathway capacity.,,,,,S003,29
M4-FUNG-0159:C002,M4-FUNG-0159,C002,Gene presence is not equated with enzyme activity where the organism's chemotype contradicts a late pathway step.,,,,,S003,30
M4-FUNG-0160:C001,M4-FUNG-0160,C001,"Fus1, Fus2, Fus8 and Fus9 are sufficient for fusarin-C biosynthesis in the tested genetic framework.",,,,,S004,29
M4-FUNG-0160:C002,M4-FUNG-0160,C002,"Fusarin production is strongly state-dependent, coupling nitrogen and acidic pH to activating chromatin marks rather than constitutive pathway access.",,,,,S004,30
M4-FUNG-0161:C001,M4-FUNG-0161,C001,The five-gene S. manihoticola GA cluster is functionally validated despite the MIBiG record being retired.,,,,,S003,29
M4-FUNG-0161:C002,M4-FUNG-0161,C002,Loss of DES and P450-3 explains the narrower Sphaceloma GA spectrum relative to Fusarium.,,,,,S003,30
M4-FUNG-0162:C001,M4-FUNG-0162,C001,"The F. fujikuroi GA programme is one of the best genetically resolved fungal diterpene pathways, but BGC0001270 itself is retired historical provenance.",,,,,S001; S003,29
M4-FUNG-0162:C002,M4-FUNG-0162,C002,The historical multi-GA product profile reflects functional late-pathway enzymes absent from the Sphaceloma five-gene cluster.,,,,,S003,30
M4-FUNG-0163:C001,M4-FUNG-0163,C001,mdpG and the surrounding mdp programme are causally required for emericellin/prenyl-xanthone precursor production.,,,,,S003,29
M4-FUNG-0163:C002,M4-FUNG-0163,C002,The pathway is not self-contained within the mapped mdp cluster because prenylation functions are extracluster.,,,,,S003,30
M4-FUNG-0164:C001,M4-FUNG-0164,C001,The original EfPKS1-centered elsinochrome model should no longer be treated as the current locus assignment.,,,,,S005,29
M4-FUNG-0164:C002,M4-FUNG-0164,C002,Historical knockout/regulatory phenotypes remain valid observations but must be interpreted under the corrected melanin-versus-elsinochrome cluster annotation.,,,,,S003; S004; S005,30
M4-FUNG-0165:C001,M4-FUNG-0165,C001,"MSAS/aomsas is causally required for 6-MSA, asperlactone and isoasperlactone biosynthesis in the defining strain.",,,,,S003,29
M4-FUNG-0165:C002,M4-FUNG-0165,C002,The 5.3-kb MIBiG region cannot be assumed to contain every downstream activity because completeness is explicitly unknown.,,,,,S001; S003,30
M4-FUNG-0166:C001,M4-FUNG-0166,C001,"The five-gene cluster directly controls the core hydroxylation, glycosylation, acetylation and export programme for sophorolipid synthesis.",,,,,S003,29
M4-FUNG-0166:C002,M4-FUNG-0166,C002,"Core sophorolipid production is dispensable for laboratory growth/viability in the tested conditions, supporting secondary-metabolite status.",,,,,S003,30
M4-FUNG-0167:C001,M4-FUNG-0167,C001,pks2 is causally sufficient for 6-methylsalicylic-acid biosynthesis.,,,,,S003,31
M4-FUNG-0167:C002,M4-FUNG-0167,C002,pks2 is dispensable for pneumocandin production under the tested conditions.,,,,,S003,32
M4-FUNG-0168:C001,M4-FUNG-0168,C001,atX unambiguously encodes the A. terreus 6-methylsalicylic-acid synthase.,,,,,S003,31
M4-FUNG-0168:C002,M4-FUNG-0168,C002,The defining experiment demonstrates a transcriptional-access barrier in the tested native culture conditions and successful heterologous bypass.,,,,,S003,32
M4-FUNG-0169:C001,M4-FUNG-0169,C001,Tri8 is directly required for normal 15-ADON endpoint chemistry in the tested F. graminearum background.,,,,,S003,28
M4-FUNG-0169:C002,M4-FUNG-0169,C002,Pathway-level transcriptional engineering can change 15-ADON output by more than an order of magnitude.,,,,,S004,29
M4-FUNG-0170:C001,M4-FUNG-0170,C001,T-2 biosynthesis is a distributed multi-locus programme rather than a self-contained single core cluster.,,,,,S003; S004,28
M4-FUNG-0170:C002,M4-FUNG-0170,C002,Tri6 and Tri10 are direct regulatory gates whose disruption collapses mature T-2 output.,,,,,S003; S004,29
M4-FUNG-0171:C001,M4-FUNG-0171,C001,"The historical locus establishes a conserved TRI5/TRI6/TRI4 core, not a complete roridin pathway.",,,,,S003,28
M4-FUNG-0171:C002,M4-FUNG-0171,C002,MRTRI4 has direct functional complementation evidence for early trichothecene oxygenation.,,,,,S003,29
M4-FUNG-0172:C001,M4-FUNG-0172,C001,The HR-PKS plus trans-ER provide direct causal machinery for betaenone decalin-core formation.,,,,,S003,28
M4-FUNG-0172:C002,M4-FUNG-0172,C002,"The retired accession is provenance for betaenone biosynthesis, not evidence of a fully self-contained terminal pathway.",,,,,S001; S003,29
M4-FUNG-0173:C001,M4-FUNG-0173,C001,Rua1 is a direct pathway-specific activation gate for the nitrogen-responsive ustilagic-acid programme.,,,,,S003,28
